row_label_raw,row_label_full,col_0,"Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn",Cộng,"numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải,truyền dẫn",numeric__Cộng
,,,VND,VND,VND,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,113.620.401.375,35.310.027.606,148.930.428.981,113620401375.0,35310027606.0,148930428981.0
- Thuê tài chính trong năm,Nguyên giá > - Thuê tài chính trong năm,- Thuê tài chính trong năm,20.572.782.741,12.018.235.085,32.591.017.826,20572782741.0,12018235085.0,32591017826.0
- Mua lại TSCĐ thuê tài chính,Nguyên giá > - Mua lại TSCĐ thuê tài chính,- Mua lại TSCĐ thuê tài chính,(6.946.200.155),(6.686.919.804),(13.633.119.959),-6946200155.0,-6686919804.0,-13633119959.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,(954.726),-,(954.726),-954726.0,,-954726.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,127.661.029.235,40.226.342.887,167.887.372.122,127661029235.0,40226342887.0,167887372122.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,17.367.841.454,8.608.612.083,25.976.453.537,17367841454.0,8608612083.0,25976453537.0
- Khấu hao trong năm,Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,15.960.778.289,5.189.441.311,21.150.219.600,15960778289.0,5189441311.0,21150219600.0
- Phân loại lại,Giá trị hao mòn luỹ kế > - Phân loại lại,- Phân loại lại,3.458.333,(3.458.333),-,3458333.0,-3458333.0,
- Mua lại TSCĐ thuê tài chính,Giá trị hao mòn luỹ kế > - Mua lại TSCĐ thuê tài chính,- Mua lại TSCĐ thuê tài chính,(3.186.065.870),(3.289.992.366),(6.476.058.236),-3186065870.0,-3289992366.0,-6476058236.0
- Giảm khác,Giá trị hao mòn luỹ kế > - Giảm khác,- Giảm khác,(37.427.751),(945.216),(38.372.967),-37427751.0,-945216.0,-38372967.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,30.108.584.455,10.503.657.479,40.612.241.934,30108584455.0,10503657479.0,40612241934.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,96.252.559.921,26.701.415.523,122.953.975.444,96252559921.0,26701415523.0,122953975444.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,97.552.444.780,29.722.685.408,127.275.130.188,97552444780.0,29722685408.0,127275130188.0
