row_label_raw,row_label_full,col_0,31/12/2018,31/12/2018_1,01/01/2018 (Đã điều chỉnh),01/01/2018 (Đã điều chỉnh)_1,numeric__31/12/2018,numeric__31/12/2018_1,numeric__01/01/2018 (Đã điều chỉnh),numeric__01/01/2018 (Đã điều chỉnh)_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
,,,VND,VND,VND,VND,,,,
Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,1.139.575.406,-,6.439.571.896,-,1139575406.0,,6439571896.0,
"Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",594.364.661.412,(15.462.744.473),588.976.700.784,(16.602.504.575),594364661412.0,-15462744473.0,588976700784.0,-16602504575.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",84.972.314.009,(1.126.813.357),84.713.996.487,(2.402.193.032),84972314009.0,-1126813357.0,84713996487.0,-2402193032.0
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,1.255.596.758.405,(1.751.645.974),1.315.319.568.126,(1.273.312.770),1255596758405.0,-1751645974.0,1315319568126.0,-1273312770.0
- Bất động sản và xây dựng,- Bất động sản và xây dựng,- Bất động sản và xây dựng,1.199.702.095.259,-,1.248.707.710.023,-,1199702095259.0,,1248707710023.0,
- Các lĩnh vực khác,- Các lĩnh vực khác,- Các lĩnh vực khác,55.894.663.146,(1.751.645.974),66.611.858.103,(1.273.312.770),55894663146.0,-1751645974.0,66611858103.0,-1273312770.0
Thành phẩm,Thành phẩm,Thành phẩm,912.283.571.857,(21.777.374.432),879.056.942.118,(33.707.863.687),912283571857.0,-21777374432.0,879056942118.0,-33707863687.0
Hàng hoá,Hàng hoá,Hàng hoá,78.242.008.112,(4.605.213.481),88.605.008.949,(3.264.841.242),78242008112.0,-4605213481.0,88605008949.0,-3264841242.0
Hàng gửi đi bán,Hàng gửi đi bán,Hàng gửi đi bán,2.918.976.964,(438.877.456),3.604.836.421,(338.798.359),2918976964.0,-438877456.0,3604836421.0,-338798359.0
,,,2.929.517.866.165,(45.162.669.173),2.966.716.624.781,(57.589.513.665),2929517866165.0,-45162669173.0,2966716624781.0,-57589513665.0
