row_label_raw,row_label_full,col_0,Năm 2018,Năm 2017(Đã điều chỉnh),numeric__Năm 2018,numeric__Năm 2017(Đã điều chỉnh)
,,,VND,VND,,
Chi phí thanh lý tài sản cố định,Chi phí thanh lý tài sản cố định,Chi phí thanh lý tài sản cố định,-,5.257.554.175,,5257554175.0
Giá vốn của vật tư bán cho công trình,Giá vốn của vật tư bán cho công trình,Giá vốn của vật tư bán cho công trình,6.276.519.317,3.120.617.106,6276519317.0,3120617106.0
Khấu hao tài sản cố định không sử dụng và trong giai đoạn ngừng sản xuất,Khấu hao tài sản cố định không sử dụng và trong giai đoạn ngừng sản xuất,Khấu hao tài sản cố định không sử dụng và trong giai đoạn ngừng sản xuất,8.952.394.479,10.550.536.460,8952394479.0,10550536460.0
Chi phí khác trong giai đoạn ngừng sản xuất để sửa chữa,Chi phí khác trong giai đoạn ngừng sản xuất để sửa chữa,Chi phí khác trong giai đoạn ngừng sản xuất để sửa chữa,7.484.741.731,3.149.916.477,7484741731.0,3149916477.0
Các khoản phải nộp ngân sách Nhà nước về thuế và BHXH,Các khoản phải nộp ngân sách Nhà nước về thuế và BHXH,Các khoản phải nộp ngân sách Nhà nước về thuế và BHXH,18.132.634.191,57.391.012.874,18132634191.0,57391012874.0
Trích trước dự phòng phải trả ngân sách Nhà nước,Trích trước dự phòng phải trả ngân sách Nhà nước,Trích trước dự phòng phải trả ngân sách Nhà nước,-,7.893.588.262,,7893588262.0
Phí cấp quyền khai thác khoáng sản truy thu,Phí cấp quyền khai thác khoáng sản truy thu,Phí cấp quyền khai thác khoáng sản truy thu,-,3.068.667.196,,3068667196.0
"Chi phí các dịch vụ cho thuê nhà, điện, nước","Chi phí các dịch vụ cho thuê nhà, điện, nước","Chi phí các dịch vụ cho thuê nhà, điện, nước",33.389.015.923,27.902.310.807,33389015923.0,27902310807.0
Chi phí khác,Chi phí khác,Chi phí khác,5.774.223.127,6.957.802.405,5774223127.0,6957802405.0
,,,80.009.528.768,125.292.005.762,80009528768.0,125292005762.0
