row_label_raw,row_label_full,Bà Ngô Thùy Trang,Trường ban,numeric__Trường ban
Bà Nguyễn Thị Cẩm Vân,Bà Nguyễn Thị Cẩm Vân,Bà Nguyễn Thị Cẩm Vân,Thành viên,
Ông Nguyễn Hải Long,Ông Nguyễn Hải Long,Ông Nguyễn Hải Long,Thành viên,
