row_label_raw,row_label_full,col_0,31/12/2018 > Giá trị,31/12/2018 > Dự phòng,01/01/2018 (Đã điều chỉnh) > Giá trị,01/01/2018 (Đã điều chỉnh) > Dự phòng,numeric__31/12/2018 > Giá trị,numeric__31/12/2018 > Dự phòng,numeric__01/01/2018 (Đã điều chỉnh) > Giá trị,numeric__01/01/2018 (Đã điều chỉnh) > Dự phòng
,,,VND,VND,VND,VND,,,,
a) Trả trước cho người bán chỉ tiết theo nhà cung cấp có số dư lớn,a) Trả trước cho người bán chỉ tiết theo nhà cung cấp có số dư lớn,a) Trả trước cho người bán chỉ tiết theo nhà cung cấp có số dư lớn,a) Trả trước cho người bán chỉ tiết theo nhà cung cấp có số dư lớn,a) Trả trước cho người bán chỉ tiết theo nhà cung cấp có số dư lớn,a) Trả trước cho người bán chỉ tiết theo nhà cung cấp có số dư lớn,a) Trả trước cho người bán chỉ tiết theo nhà cung cấp có số dư lớn,,,,
Công ty Cổ phần Viglacera Đông Triều,a) Trả trước cho người bán chỉ tiết theo nhà cung cấp có số dư lớn > Công ty Cổ phần Viglacera Đông Triều,Công ty Cổ phần Viglacera Đông Triều,5.751.636.598,(2.000.000.000),2.965.027.055,(2.000.000.000),5751636598.0,-2000000000.0,2965027055.0,-2000000000.0
Keller Hcwgmbh,a) Trả trước cho người bán chỉ tiết theo nhà cung cấp có số dư lớn > Keller Hcwgmbh,Keller Hcwgmbh,6.281.557.600,(6.281.557.600),6.281.557.600,(6.281.557.600),6281557600.0,-6281557600.0,6281557600.0,-6281557600.0
Công ty Cổ phần Cơ khí và Môi trường Nam An,a) Trả trước cho người bán chỉ tiết theo nhà cung cấp có số dư lớn > Công ty Cổ phần Cơ khí và Môi trường Nam An,Công ty Cổ phần Cơ khí và Môi trường Nam An,-,-,7.696.400.000,-,,,7696400000.0,
Công ty Cổ phần Tư vấn Đầu tư Xây dựng Thịnh Phát,a) Trả trước cho người bán chỉ tiết theo nhà cung cấp có số dư lớn > Công ty Cổ phần Tư vấn Đầu tư Xây dựng Thịnh Phát,Công ty Cổ phần Tư vấn Đầu tư Xây dựng Thịnh Phát,-,-,4.951.590.560,-,,,4951590560.0,
Công ty CP Đầu tư Cơ khí và Xây dựng Hà Nội,a) Trả trước cho người bán chỉ tiết theo nhà cung cấp có số dư lớn > Công ty CP Đầu tư Cơ khí và Xây dựng Hà Nội,Công ty CP Đầu tư Cơ khí và Xây dựng Hà Nội,11.574.438.565,-,16.946.081.453,-,11574438565.0,,16946081453.0,
Công ty TNHH Tangshan Hexiang Industrial,a) Trả trước cho người bán chỉ tiết theo nhà cung cấp có số dư lớn > Công ty TNHH Tangshan Hexiang Industrial,Công ty TNHH Tangshan Hexiang Industrial,-,-,11.361.376.630,-,,,11361376630.0,
Công ty TNHH MTV phát triển đô thị và khu công nghiệp IDICO,a) Trả trước cho người bán chỉ tiết theo nhà cung cấp có số dư lớn > Công ty TNHH MTV phát triển đô thị và khu công nghiệp IDICO,Công ty TNHH MTV phát triển đô thị và khu công nghiệp IDICO,6.214.453.800,-,6.214.453.800,-,6214453800.0,,6214453800.0,
Hess AAC Systems B.V.,a) Trả trước cho người bán chỉ tiết theo nhà cung cấp có số dư lớn > Hess AAC Systems B.V.,Hess AAC Systems B.V.,5.142.968.841,-,13.348.078.510,-,5142968841.0,,13348078510.0,
Các khoản trả trước cho người bán khác,a) Trả trước cho người bán chỉ tiết theo nhà cung cấp có số dư lớn > Các khoản trả trước cho người bán khác,Các khoản trả trước cho người bán khác,153.695.831.467,(10.113.791.976),124.373.169.734,(4.565.919.660),153695831467.0,-10113791976.0,124373169734.0,-4565919660.0
,,,188.660.886.871,(18.395.349.576),194.137.735.342,(12.847.477.260),188660886871.0,-18395349576.0,194137735342.0,-12847477260.0
