row_label_raw,row_label_full,col_0,Năm 2018,Năm 2017(Đã điều chỉnh),numeric__Năm 2018,numeric__Năm 2017(Đã điều chỉnh)
,,,VND,VND,,
"Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",3.652.726.022.503,3.517.870.255.989,3652726022503.0,3517870255989.0
Chi phí nhân công,Chi phí nhân công,Chi phí nhân công,1.230.800.356.062,1.231.012.653.640,1230800356062.0,1231012653640.0
"Chi phí công cụ, dụng cụ, đồ dùng","Chi phí công cụ, dụng cụ, đồ dùng","Chi phí công cụ, dụng cụ, đồ dùng",269.081.008.461,190.321.974.619,269081008461.0,190321974619.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,479.783.546.122,454.126.049.097,479783546122.0,454126049097.0
"Thuế, phí và lệ phí","Thuế, phí và lệ phí","Thuế, phí và lệ phí",92.253.701.351,87.952.762.516,92253701351.0,87952762516.0
Chi phí dự phòng,Chi phí dự phòng,Chi phí dự phòng,11.058.432.803,54.116.084.151,11058432803.0,54116084151.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,1.162.189.455.193,1.023.925.296.261,1162189455193.0,1023925296261.0
Chi phí khác bằng tiền,Chi phí khác bằng tiền,Chi phí khác bằng tiền,607.802.897.329,749.136.111.856,607802897329.0,749136111856.0
,,,7.505.695.419.823,7.308.461.188.129,7505695419823.0,7308461188129.0
