row_label_raw,row_label_full,col_0,Từ 1 năm trở xuống,Trên 1 năm đến 5 năm,Trên 5 năm,Cộng,numeric__Từ 1 năm trở xuống,numeric__Trên 1 năm đến 5 năm,numeric__Trên 5 năm,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,,,,
Vay và nợ,Tại ngày 31/12/2018 > Vay và nợ,Vay và nợ,1.434.161.624.425,638.811.480.854,36.488.615.719,2.109.461.720.998,1434161624425.0,638811480854.0,36488615719.0,2109461720998.0
"Phải trả người bán, phải trả khác","Tại ngày 31/12/2018 > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",1.565.628.821.065,44.710.756.846,-,1.610.339.577.911,1565628821065.0,44710756846.0,,1610339577911.0
Chi phí phải trả,Tại ngày 31/12/2018 > Chi phí phải trả,Chi phí phải trả,578.231.525.166,-,1.198.270.083.384,1.776.501.608.550,578231525166.0,,1198270083384.0,1776501608550.0
,,,3.578.021.970.656,683.522.237.700,1.234.758.699.103,5.496.302.907.459,3578021970656.0,683522237700.0,1234758699103.0,5496302907459.0
Tại ngày 01/01/2018 (Đã điều chỉnh),Tại ngày 01/01/2018 (Đã điều chỉnh),Tại ngày 01/01/2018 (Đã điều chỉnh),Tại ngày 01/01/2018 (Đã điều chỉnh),Tại ngày 01/01/2018 (Đã điều chỉnh),Tại ngày 01/01/2018 (Đã điều chỉnh),Tại ngày 01/01/2018 (Đã điều chỉnh),,,,
Vay và nợ,Tại ngày 01/01/2018 (Đã điều chỉnh) > Vay và nợ,Vay và nợ,1.265.986.970.127,827.884.320.007,48.819.513.259,2.142.690.803.393,1265986970127.0,827884320007.0,48819513259.0,2142690803393.0
"Phải trả người bán, phải trả khác","Tại ngày 01/01/2018 (Đã điều chỉnh) > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",1.406.987.688.240,50.822.976.877,-,1.457.810.665.117,1406987688240.0,50822976877.0,,1457810665117.0
Chi phí phải trả,Tại ngày 01/01/2018 (Đã điều chỉnh) > Chi phí phải trả,Chi phí phải trả,730.902.486.987,19.677.355.920,817.806.742.677,1.568.386.585.584,730902486987.0,19677355920.0,817806742677.0,1568386585584.0
,,,3.403.877.145.354,898.384.652.804,866.626.255.936,5.168.888.054.094,3403877145354.0,898384652804.0,866626255936.0,5168888054094.0
