row_label_raw,row_label_full,Tên công ty,Địa chỉ,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Hoạt động kinh doanh chính,numeric__Địa chỉ,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ quyền biểu quyết,numeric__Hoạt động kinh doanh chính
Công ty CP Thương mại Viglacera,Công ty CP Thương mại Viglacera,Công ty CP Thương mại Viglacera,Hà Nội,"79,88%",100%,Kinh doanh vật liệu xây dựng,,0.7988,1.0,
Công ty CP Viglacera Vân Hải,Công ty CP Viglacera Vân Hải,Công ty CP Viglacera Vân Hải,Quảng Ninh,"92,48%","92,48%",Khai thác và kinh doanh cát,,0.9248000000000001,0.9248000000000001,
Công ty CP Khoáng sản Viglacera,Công ty CP Khoáng sản Viglacera,Công ty CP Khoáng sản Viglacera,Yên Bái,"51,00%","51,00%",Khai thác và kinh doanh khoáng sản,,0.51,0.51,
Công ty CP Sử Viglacera Thanh Trì,Công ty CP Sử Viglacera Thanh Trì,Công ty CP Sử Viglacera Thanh Trì,Hà Nội,"62,96%","62,96%",Sản xuất và kinh doanh sứ vệ sinh,,0.6296,0.6296,
Công ty CP Viglacera Hạ Long,Công ty CP Viglacera Hạ Long,Công ty CP Viglacera Hạ Long,Quảng Ninh,"50,48%","50,48%",Sản xuất và kinh doanh gạch,,0.5047999999999999,0.5047999999999999,
Công ty CP Viglacera Hà Nội,Công ty CP Viglacera Hà Nội,Công ty CP Viglacera Hà Nội,Hà Nội,"51,00%","51,00%",Sản xuất và kinh doanh gạch men,,0.51,0.51,
Công ty CP Bê tông khí Viglacera,Công ty CP Bê tông khí Viglacera,Công ty CP Bê tông khí Viglacera,Bắc Ninh,"96,19%","97,69%",Sản xuất gạch chịu áp,,0.9619,0.9769,
Công ty CP Vinafacade,Công ty CP Vinafacade,Công ty CP Vinafacade,Hà Nội,"60,40%","63,23%","Kinh doanh, lắp dựng kính xây dựng",,0.604,0.6323,
Công ty CP Gạch Clinker Viglacera,Công ty CP Gạch Clinker Viglacera,Công ty CP Gạch Clinker Viglacera,Quảng Ninh,"50,47%","99,92%",Sản xuất và kinh doanh gạch,,0.5047,0.9992,
Công ty CP Kinh doanh Gạch Óp lát Viglacera,Công ty CP Kinh doanh Gạch Óp lát Viglacera,Công ty CP Kinh doanh Gạch Óp lát Viglacera,Hà Nội,"51,02%",100%,Kinh doanh gạch men,,0.5102,1.0,
Công ty TNHH Một thành viên Thương mại Viglacera Hạ Long,Công ty TNHH Một thành viên Thương mại Viglacera Hạ Long,Công ty TNHH Một thành viên Thương mại Viglacera Hạ Long,Quảng Ninh,"50,48%",100%,Kinh doanh vật liệu xây dựng,,0.5047999999999999,1.0,
Công ty TNHH Một thành viên Lắp dựng Kính Viglacera,Công ty TNHH Một thành viên Lắp dựng Kính Viglacera,Công ty TNHH Một thành viên Lắp dựng Kính Viglacera,Bắc Ninh,"86,41%",100%,"Kinh doanh, lắp dựng kính xây dựng",,0.8641,1.0,
Công ty CP Viglacera Can Lộc,Công ty CP Viglacera Can Lộc,Công ty CP Viglacera Can Lộc,Hà Tĩnh,"57,52%",100%,Sản xuất và kinh doanh gạch,,0.5752,1.0,
Công ty CP CHAO Viglacera\( ^{(1.1)} \),Công ty CP CHAO Viglacera\( ^{(1.1)} \),Công ty CP CHAO Viglacera\( ^{(1.1)} \),Hà Nội,100%,"51,00%","Dịch vụ du lịch, nhà hàng",,1.0,0.51,
Công ty CP Phát triển Khu Công nghiệp Yên Mỹ - Hung Yên\( ^{(1.2)} \),Công ty CP Phát triển Khu Công nghiệp Yên Mỹ - Hung Yên\( ^{(1.2)} \),Công ty CP Phát triển Khu Công nghiệp Yên Mỹ - Hung Yên\( ^{(1.2)} \),Hưng Yên,"56,82%","60,00%","Đầu tư xây dựng, cho thuê cơ sở hạ tầng khu công nghiệp",,0.5682,0.6,
Công ty ViMariel - CTCP\( ^{(1.3)} \),Công ty ViMariel - CTCP\( ^{(1.3)} \),Công ty ViMariel - CTCP\( ^{(1.3)} \),Cộng hòa Cuba,100%,"99,90%","Đầu tư xây dựng, cho thuê cơ sở hạ tầng khu công nghiệp",,1.0,0.9990000000000001,
