row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm 2018,Năm 2017 (Đã điều chỉnh),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm 2018,numeric__Năm 2017 (Đã điều chỉnh)
,,,,,VND,VND,,,,
,,,III. LU'U CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
31,31,31,"1. Tiền thu từ phát hành cố phiếu, nhận vốn góp của chủ sở hữu",,34.444.852.210,2.273.874.378.822,,,34444852210.0,2273874378822.0
33,33,33,2. Tiền thu từ đi vay,,5.166.364.033.773,4.503.371.605.732,,,5166364033773.0,4503371605732.0
34,34,34,3. Tiền trả nợ gốc vay,,(5.198.254.657.429),(4.501.867.067.811),,,-5198254657429.0,-4501867067811.0
35,35,35,4. Tiền trả nợ gốc thuê tài chính,,(28.615.224.744),(30.658.624.410),,,-28615224744.0,-30658624410.0
36,36,36,"5. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,(474.643.768.612),(516.203.425.953),,,-474643768612.0,-516203425953.0
40,40,40,Lưu chuyển tiền thuần từ hoạt động tài chính,,(500.704.764.802),1.728.516.866.380,,,-500704764802.0,1728516866380.0
50,50,50,Lưu chuyển tiền thuần trong năm,,(749.851.551.141),1.111.154.082.734,,,-749851551141.0,1111154082734.0
60,60,60,Tiền và tương đương tiền đầu năm,,2.165.665.339.498,1.054.085.576.436,,,2165665339498.0,1054085576436.0
61,61,61,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,1.520.755.320,425.680.328,,,1520755320.0,425680328.0
70,70,70,Tiền và tương đương tiền cuối năm,3,1.417.334.543.677,2.165.665.339.498,,3.0,1417334543677.0,2165665339498.0
