row_label_raw,row_label_full,col_0,Nhà và quyềnsử dụng đất,Cơ sở hạ tầng,Cộng,numeric__Nhà và quyềnsử dụng đất,numeric__Cơ sở hạ tầng,numeric__Cộng
,,,VND,VND,VND,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm (Đã điều chỉnh),Nguyên giá > Số dư đầu năm (Đã điều chỉnh),Số dư đầu năm (Đã điều chỉnh),1.268.682.460.331,2.093.528.291.747,3.362.210.752.078,1268682460331.0,2093528291747.0,3362210752078.0
- Tăng từ đầu tư xây dựng cơ bản\( ^{(15.1)} \),Nguyên giá > - Tăng từ đầu tư xây dựng cơ bản\( ^{(15.1)} \),- Tăng từ đầu tư xây dựng cơ bản\( ^{(15.1)} \),2.529.751.694,526.887.971.450,529.417.723.144,2529751694.0,526887971450.0,529417723144.0
- Điều chỉnh theo quyết toán,Nguyên giá > - Điều chỉnh theo quyết toán,- Điều chỉnh theo quyết toán,(156.940.167),-,(156.940.167),-156940167.0,,-156940167.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,-,(1.826.779.143),(1.826.779.143),,-1826779143.0,-1826779143.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.271.055.271.858,2.618.589.484.054,3.889.644.755.912,1271055271858.0,2618589484054.0,3889644755912.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,
Số dư đầu năm (Đã điều chỉnh),Giá trị hao mòn luỹ kế > Số dư đầu năm (Đã điều chỉnh),Số dư đầu năm (Đã điều chỉnh),228.484.955.527,272.965.318.011,501.450.273.538,228484955527.0,272965318011.0,501450273538.0
- Khấu hao trong năm,Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,43.273.898.652,54.294.047.635,97.567.946.287,43273898652.0,54294047635.0,97567946287.0
- Giảm khác,Giá trị hao mòn luỹ kế > - Giảm khác,- Giảm khác,-,(2.688.346.211),(2.688.346.211),,-2688346211.0,-2688346211.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,271.758.854.179,324.571.019.435,596.329.873.614,271758854179.0,324571019435.0,596329873614.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,1.040.197.504.804,1.820.562.973.736,2.860.760.478.540,1040197504804.0,1820562973736.0,2860760478540.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,999.296.417.679,2.294.018.464.619,3.293.314.882.298,999296417679.0,2294018464619.0,3293314882298.0
