row_label_raw,row_label_full,col_0,Mã số,Đã điều chỉnh lại > VND,Đã trình bày trên báo cáo nằm trước > VND,numeric__Mã số,numeric__Đã điều chỉnh lại > VND,numeric__Đã trình bày trên báo cáo nằm trước > VND
a/ Băng Cân đối kế toán hợp nhất,a/ Băng Cân đối kế toán hợp nhất,a/ Băng Cân đối kế toán hợp nhất,a/ Băng Cân đối kế toán hợp nhất,a/ Băng Cân đối kế toán hợp nhất,a/ Băng Cân đối kế toán hợp nhất,,,
Phải thu ngắn hạn của khách hàng,a/ Băng Cân đối kế toán hợp nhất > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,1.060.217.727.397,1.055.670.821.865,131.0,1060217727397.0,1055670821865.0
Trà trước cho người bán ngắn hạn,a/ Băng Cân đối kế toán hợp nhất > Trà trước cho người bán ngắn hạn,Trà trước cho người bán ngắn hạn,132,194.137.735.342,166.284.713.944,132.0,194137735342.0,166284713944.0
Phải thu ngắn hạn khác,a/ Băng Cân đối kế toán hợp nhất > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,250.844.181.959,248.248.000.602,136.0,250844181959.0,248248000602.0
Dự phòng phải thu ngắn hạn khó đòi,a/ Băng Cân đối kế toán hợp nhất > Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,137,(179.929.038.780),(184.629.984.232),137.0,-179929038780.0,-184629984232.0
Hàng tồn kho,a/ Băng Cân đối kế toán hợp nhất > Hàng tồn kho,Hàng tồn kho,141,2.966.716.624.781,2.953.537.029.323,141.0,2966716624781.0,2953537029323.0
Dự phòng giảm giá hàng tồn kho,a/ Băng Cân đối kế toán hợp nhất > Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,149,(57.589.513.665),(57.624.368.495),149.0,-57589513665.0,-57624368495.0
Chi phí trả trước ngắn hạn,a/ Băng Cân đối kế toán hợp nhất > Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,46.275.791.928,46.166.348.051,151.0,46275791928.0,46166348051.0
Thuế GTGT được khấu trừ,a/ Băng Cân đối kế toán hợp nhất > Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,152,126.477.157.494,126.548.171.723,152.0,126477157494.0,126548171723.0
Tài sản cố định hữu hình,a/ Băng Cân đối kế toán hợp nhất > Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,3.460.106.230.249,3.457.947.108.148,221.0,3460106230249.0,3457947108148.0
