row_label_raw,row_label_full,Chỉ tiêu,Chỉ tiêu_1,Quá hạn > Triệu VND,Không chịu lãi > Triệu VND,Thay đổi lãi suất trong khoảng thời gian > Dưới 01 tháng > Triệu VND,Thay đổi lãi suất trong khoảng thời gian > Từ 01 đến 03 tháng > Triệu VND,Thay đổi lãi suất trong khoảng thời gian > Từ trên 03 đến 06 tháng > Triệu VND,Thay đổi lãi suất trong khoảng thời gian > Từ trên 06 đến 12 tháng > Triệu VND,Thay đổi lãi suất trong khoảng thời gian > Từ trên 01 đến 05 năm > Triệu VND,Thay đổi lãi suất trong khoảng thời gian > Trên 05 năm > Triệu VND,Tổng > Triệu VND,numeric__Chỉ tiêu_1,numeric__Quá hạn > Triệu VND,numeric__Không chịu lãi > Triệu VND,numeric__Thay đổi lãi suất trong khoảng thời gian > Dưới 01 tháng > Triệu VND,numeric__Thay đổi lãi suất trong khoảng thời gian > Từ 01 đến 03 tháng > Triệu VND,numeric__Thay đổi lãi suất trong khoảng thời gian > Từ trên 03 đến 06 tháng > Triệu VND,numeric__Thay đổi lãi suất trong khoảng thời gian > Từ trên 06 đến 12 tháng > Triệu VND,numeric__Thay đổi lãi suất trong khoảng thời gian > Từ trên 01 đến 05 năm > Triệu VND,numeric__Thay đổi lãi suất trong khoảng thời gian > Trên 05 năm > Triệu VND,numeric__Tổng > Triệu VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,,,,,
I,TÀI SẢN > I,I,"Tiền mặt, vàng bạc, đá quý",-,649.952,-,-,-,-,-,-,649.952,,,649952.0,,,,,,,649952.0
II,TÀI SẢN > II,II,Tiền gửi tại NHNN,-,-,1.023.135,-,-,-,-,-,1.023.135,,,,1023135.0,,,,,,1023135.0
III,TÀI SẢN > III,III,"Tiền, vàng gửi và cho vay các TCTD khác (*)",-,-,7.130.350,1.550.000,-,-,747.015,1.168.688,10.596.053,,,,7130350.0,1550000.0,,,747015.0,1168688.0,10596053.0
IV,TÀI SẢN > IV,IV,Chứng khoán kinh doanh (*),-,-,-,-,-,1.900.000,6.628.001,-,8.528.001,,,,,,,1900000.0,6628001.0,,8528001.0
V,TÀI SẢN > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),-,-,5.097,-,-,-,-,-,5.097,,,,5097.0,,,,,,5097.0
VI,TÀI SẢN > VI,VI,Cho vay khách hàng (*),810.680,-,7.261.046,5.911.999,13.093.689,12.600.431,13.994.574,30.925.960,84.598.379,,810680.0,,7261046.0,5911999.0,13093689.0,12600431.0,13994574.0,30925960.0,84598379.0
VII,TÀI SẢN > VII,VII,Chứng khoán đầu tư (*),-,136.500,-,-,-,-,5.599.184,6.146.596,11.882.280,,,136500.0,,,,,5599184.0,6146596.0,11882280.0
VIII,TÀI SẢN > VIII,VIII,"Góp vốn, đầu tư dài hạn (*)",-,162.845,-,-,-,-,-,-,162.845,,,162845.0,,,,,,,162845.0
IX,TÀI SẢN > IX,IX,Tài sản cố định và bất động sản đầu tư,-,773.719,-,-,-,-,-,-,773.719,,,773719.0,,,,,,,773719.0
X,TÀI SẢN > X,X,Tài sản có khác,-,2.664.770,-,-,-,-,-,-,2.664.770,,,2664770.0,,,,,,,2664770.0
Tổng tài sản,TÀI SẢN > Tổng tài sản,Tổng tài sản,Tổng tài sản,810.680,4.387.786,15.419.628,7.461.999,13.093.689,14.500.431,26.968.774,38.241.244,120.884.231,,810680.0,4387786.0,15419628.0,7461999.0,13093689.0,14500431.0,26968774.0,38241244.0,120884231.0
