row_label_raw,row_label_full,col_0,Tỷ lệ,Số tiền,numeric__Tỷ lệ,numeric__Số tiền
,,,%,Triệu VND,,
Lợi nhuận sau thuế năm 2020,Lợi nhuận sau thuế năm 2020,Lợi nhuận sau thuế năm 2020,,587.794,,587794.0
Trích các Quỹ,Trích các Quỹ,Trích các Quỹ,"20,04",117.772,20.04,117772.0
- Quỹ dự trữ bổ sung vốn điều lệ,- Quỹ dự trữ bổ sung vốn điều lệ,- Quỹ dự trữ bổ sung vốn điều lệ,"4,98",29.258,4.98,29258.0
- Quỹ dự phòng tài chính,- Quỹ dự phòng tài chính,- Quỹ dự phòng tài chính,"9,95",58.514,9.95,58514.0
- Quỹ phúc lợi,- Quỹ phúc lợi,- Quỹ phúc lợi,"2,55",15.000,2.55,15000.0
- Quỹ khen thưởng,- Quỹ khen thưởng,- Quỹ khen thưởng,"2,55",15.000,2.55,15000.0
Thù lao HDQT và BKS,Thù lao HDQT và BKS,Thù lao HDQT và BKS,"1,49",8.777,1.49,8777.0
"Chia cổ tức bằng cổ phiếu cho cổ đông (6,3% vốn điều lệ) (ii)","Chia cổ tức bằng cổ phiếu cho cổ đông (6,3% vốn điều lệ) (ii)","Chia cổ tức bằng cổ phiếu cho cổ đông (6,3% vốn điều lệ) (ii)","75,94",446.355,75.94,446355.0
Lợi nhuận để lại,Lợi nhuận để lại,Lợi nhuận để lại,,14.890,,14890.0
