row_label_raw,row_label_full,col_0,"Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ","Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ_1",Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,Khác,Khác_1,Hoạt động chung không phân bổ,Hoạt động chung không phân bổ_1,Tổng cộng,Tổng cộng_1,"numeric__Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ","numeric__Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ_1",numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,numeric__Khác,numeric__Khác_1,numeric__Hoạt động chung không phân bổ,numeric__Hoạt động chung không phân bổ_1,numeric__Tổng cộng,numeric__Tổng cộng_1
,,,Năm nay/Cuối nămTriệu VND,Năm trước/ Đầu nămTriệu VND,Năm nay/Cuối nămTriệu VND,Năm trước/ Đầu nămTriệu VND,Năm nay/Cuối nămTriệu VND,Năm trước/ Đầu nămTriệu VND,Năm nay/Cuối nămTriệu VND,Năm trước/ Đầu nămTriệu VND,Năm nay/Cuối nămTriệu VND,Năm trước/ Đầu nămTriệu VND,,,,,,,,,,
I. Doanh thu,I. Doanh thu,I. Doanh thu,9.622.531,9.890.179,1.978,3.227,364.563,279.750,-,-,9.989.072,10.173.156,9622531.0,9890179.0,1978.0,3227.0,364563.0,279750.0,,,9989072.0,10173156.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,9.448.549,9.816.232,-,-,10.279,8.358,-,-,9.458.828,9.824.590,9448549.0,9816232.0,,,10279.0,8358.0,,,9458828.0,9824590.0
2. Doanh thu từ hoạt động đầu tư,2. Doanh thu từ hoạt động đầu tư,2. Doanh thu từ hoạt động đầu tư,173.982,73.947,1.978,3.227,-,-,-,-,175.960,77.174,173982.0,73947.0,1978.0,3227.0,,,,,175960.0,77174.0
3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,-,-,-,-,354.284,271.392,-,-,354.284,271.392,,,,,354284.0,271392.0,,,354284.0,271392.0
II. Chi phí,II. Chi phí,II. Chi phí,7.346.173,7.820.730,-,-,178.811,122.897,1.312.134,1.240.390,8.837.118,9.184.017,7346173.0,7820730.0,,,178811.0,122897.0,1312134.0,1240390.0,8837118.0,9184017.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,7.341.600,7.793.519,-,-,-,-,-,-,7.341.600,7.793.519,7341600.0,7793519.0,,,,,,,7341600.0,7793519.0
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,-,-,-,-,-,-,35.882,32.459,35.882,32.459,,,,,,,35882.0,32459.0,35882.0,32459.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,4.573,27.211,-,-,178.811,122.897,1.276.252,1.207.931,1.459.636,1.358.039,4573.0,27211.0,,,178811.0,122897.0,1276252.0,1207931.0,1459636.0,1358039.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,2.276.358,2.069.449,1.978,3.227,185.752,156.853,(1.312.134),(1.240.390),1.151.954,989.139,2276358.0,2069449.0,1978.0,3227.0,185752.0,156853.0,-1312134.0,-1240390.0,1151954.0,989139.0
Chi phí/(Hoàn nhập) dự phòng rủi ro tín dụng,Chi phí/(Hoàn nhập) dự phòng rủi ro tín dụng,Chi phí/(Hoàn nhập) dự phòng rủi ro tín dụng,243.589,254.326,-,-,-,-,-,-,243.589,254.326,243589.0,254326.0,,,,,,,243589.0,254326.0
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,2.032.769,1.815.123,1.978,3.227,185.752,156.853,(1.312.134),(1.240.390),908.365,734.813,2032769.0,1815123.0,1978.0,3227.0,185752.0,156853.0,-1312134.0,-1240390.0,908365.0,734813.0
