row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2021 > Triệu VND,31/12/2020 > Triệu VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2021 > Triệu VND,numeric__31/12/2020 > Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,16,95.504,147.537,,16.0,95504.0,147537.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,17,9.086.568,13.231.963,,17.0,9086568.0,13231963.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,9.060.479,13.231.030,,,9060479.0,13231030.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,26.089,933,,,26089.0,933.0
III,B > III,III,Tiền gửi của khách hàng,18,93.440.398,86.442.223,,18.0,93440398.0,86442223.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho-vay tổ chức tín dụng chịu rủi ro",19,3.671,3.120,,19.0,3671.0,3120.0
VI,B > VI,VI,Phát hành giấy tờ có giá,20,5.313.965,5.889.835,,20.0,5313965.0,5889835.0
VII,B > VII,VII,Các khoản nợ khác,,2.800.557,3.111.133,,,2800557.0,3111133.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,2.540.562,2.732.698,,,2540562.0,2732698.0
3,B > 3,3,Các khoản phải trả và công nợ khác,21,259.995,378.435,,21.0,259995.0,378435.0
,,,TỔNG NỘ PHẢI TRẢ,,110.740.663,108.825.811,,,110740663.0,108825811.0
VIII,B > VIII,VIII,Vốn chủ sở hữu,22,9.051.143,8.363.582,,22.0,9051143.0,8363582.0
1,B > 1,1,Vốn của tổ chức tín dụng,,7.538.753,7.092.398,,,7538753.0,7092398.0
a,B > a,a,Vốn điều lệ,,7.531.355,7.085.000,,,7531355.0,7085000.0
c,B > c,c,Thặng dư vốn cổ phần,,7.398,7.398,,,7398.0,7398.0
2,B > 2,2,Quỹ của tổ chức tín dụng,,686.254,598.482,,,686254.0,598482.0
5,B > 5,5,Lợi nhuận chưa phân phối,,826.136,672.702,,,826136.0,672702.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,119.791.806,117.189.393,,,119791806.0,117189393.0
