row_label_raw,row_label_full,Chỉ tiêu,Chỉ tiêu_1,Quá hạn > Trên 03 tháng > Triệu VND,Quá hạn > Đến 03 tháng > Triệu VND,Trong hạn > Đến 01 tháng > Triệu VND,Trong hạn > Từ trên 01 đến 03 tháng > Triệu VND,Trong hạn > Từ trên 03 đến 12 tháng > Triệu VND,Trong hạn > Từ trên 01 đến 05 năm > Triệu VND,Trong hạn > Trên 05 năm > Triệu VND,Tổng > Triệu VND,numeric__Chỉ tiêu_1,numeric__Quá hạn > Trên 03 tháng > Triệu VND,numeric__Quá hạn > Đến 03 tháng > Triệu VND,numeric__Trong hạn > Đến 01 tháng > Triệu VND,numeric__Trong hạn > Từ trên 01 đến 03 tháng > Triệu VND,numeric__Trong hạn > Từ trên 03 đến 12 tháng > Triệu VND,numeric__Trong hạn > Từ trên 01 đến 05 năm > Triệu VND,numeric__Trong hạn > Trên 05 năm > Triệu VND,numeric__Tổng > Triệu VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,,,,
I,TÀI SẢN > I,I,"Tiền mặt, vàng bạc, đá quỹ",-,-,649.952,-,-,-,-,649.952,,,,649952.0,,,,,649952.0
II,TÀI SẢN > II,II,Tiền gửi tại NHNN,-,-,1.023.135,-,-,-,-,1.023.135,,,,1023135.0,,,,,1023135.0
III,TÀI SẢN > III,III,"Tiền, vàng gửi và cho vay các TCTD khác (*)",-,-,7.630.350,1.050.000,-,747.015,1.168.688,10.596.053,,,,7630350.0,1050000.0,,747015.0,1168688.0,10596053.0
IV,TÀI SẢN > IV,IV,Chứng khoán kinh doanh (*),-,-,100.000,500.000,7.170.000,758.001,-,8.528.001,,,,100000.0,500000.0,7170000.0,758001.0,,8528001.0
V,TÀI SẢN > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),-,-,5.097,-,-,-,-,5.097,,,,5097.0,,,,,5097.0
VI,TÀI SẢN > VI,VI,Cho vay khách hàng (*),324.272,486.408,11.506.575,10.713.019,16.647.571,32.828.484,12.092.050,84.598.379,,324272.0,486408.0,11506575.0,10713019.0,16647571.0,32828484.0,12092050.0,84598379.0
VII,TÀI SẢN > VII,VII,Chứng khoán đầu tư (*),-,-,136.500,-,1.000.000,6.993.183,3.752.597,11.882.280,,,,136500.0,,1000000.0,6993183.0,3752597.0,11882280.0
VIII,TÀI SẢN > VIII,VIII,"Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,162.845,,162.845,,,,,,,162845.0,,162845.0
IX,TÀI SẢN > IX,IX,Tài sản cố định và bất động sản đầu tư,-,-,-,-,-,233.726,539.993,773.719,,,,,,,233726.0,539993.0,773719.0
X,TÀI SẢN > X,X,Tài sản có khác (*),-,-,266.477,1.065.908,1.332.385,-,-,2.664.770,,,,266477.0,1065908.0,1332385.0,,,2664770.0
Tổng tài sản,TÀI SẢN > Tổng tài sản,Tổng tài sản,Tổng tài sản,324.272,486.408,21.318.086,13.328.927,26.149.956,41.723.254,17.553.328,120.884.231,,324272.0,486408.0,21318086.0,13328927.0,26149956.0,41723254.0,17553328.0,120884231.0
