row_label_raw,row_label_full,Các khoản đầu tư,31/12/2021 > Giá gốc,31/12/2021 > Tỷ lệnăm giữ,31/12/2020 > Giá gốc,31/12/2020 > Tỷ lệnăm giữ,numeric__31/12/2021 > Giá gốc,numeric__31/12/2021 > Tỷ lệnăm giữ,numeric__31/12/2020 > Giá gốc,numeric__31/12/2020 > Tỷ lệnăm giữ
Các khoản đầu tư,Các khoản đầu tư,Các khoản đầu tư,Triệu VND,%,Triệu VND,%,,,,
- Công ty Cổ phần Thủy điện Hùa Na,Các khoản đầu tư > - Công ty Cổ phần Thủy điện Hùa Na,- Công ty Cổ phần Thủy điện Hùa Na,115.500,"4,91",115.500,"4,91",115500.0,4.91,115500.0,4.91
- Công ty Cổ phần Thanh toán Quốc gia Việt Nam,Các khoản đầu tư > - Công ty Cổ phần Thanh toán Quốc gia Việt Nam,- Công ty Cổ phần Thanh toán Quốc gia Việt Nam,2.000,"0,83",2.000,"0,83",2000.0,0.83,2000.0,0.83
- Quỹ Đầu tư Doanh nghiệp Hàng đầu Việt Nam VF4,Các khoản đầu tư > - Quỹ Đầu tư Doanh nghiệp Hàng đầu Việt Nam VF4,- Quỹ Đầu tư Doanh nghiệp Hàng đầu Việt Nam VF4,-,"0,00",30.883,"13,70",,0.0,30883.0,13.7
- Quỹ Đầu tư Chứng khoán Việt Nam VF1,Các khoản đầu tư > - Quỹ Đầu tư Chứng khoán Việt Nam VF1,- Quỹ Đầu tư Chứng khoán Việt Nam VF1,-,"0,00",1.932,"1,60",,0.0,1932.0,1.6
- Công ty Cổ phần Địa ốc MB,Các khoản đầu tư > - Công ty Cổ phần Địa ốc MB,- Công ty Cổ phần Địa ốc MB,1.676,"0,26",1.676,"0,26",1676.0,0.26,1676.0,0.26
- Công ty Cổ phần Quản lý Quỹ Đầu tư MB,Các khoản đầu tư > - Công ty Cổ phần Quản lý Quỹ Đầu tư MB,- Công ty Cổ phần Quản lý Quỹ Đầu tư MB,19.780,"6,11",19.780,"6,12",19780.0,6.11,19780.0,6.12
- Công ty Cổ phần Sông Lam Nghệ An,Các khoản đầu tư > - Công ty Cổ phần Sông Lam Nghệ An,- Công ty Cổ phần Sông Lam Nghệ An,2.000,"10,00",2.000,"10,00",2000.0,10.0,2000.0,10.0
- Công ty Cổ phần Tập đoàn Mai Linh,Các khoản đầu tư > - Công ty Cổ phần Tập đoàn Mai Linh,- Công ty Cổ phần Tập đoàn Mai Linh,21.889,"0,50",21.889,"0,50",21889.0,0.5,21889.0,0.5
,,,162.845,,195.660,,162845.0,,195660.0,
