row_label_raw,row_label_full,col_0,Hoạt động môi giới bắt động sản,Hoạt động chuyển nhượng bắt động sản,Hoạt động cho thuê văn phòng và khác,Tổng cộng toàn doanh nghiệp,numeric__Hoạt động môi giới bắt động sản,numeric__Hoạt động chuyển nhượng bắt động sản,numeric__Hoạt động cho thuê văn phòng và khác,numeric__Tổng cộng toàn doanh nghiệp
,,,VND,VND,VND,VND,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,1.141.239.533.572,1.921.875.982.197,38.805.686.643,3.101.921.202.412,1141239533572.0,1921875982197.0,38805686643.0,3101921202412.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,880.733.559.468,1.481.847.482.438,25.833.463.494,2.388.414.505.400,880733559468.0,1481847482438.0,25833463494.0,2388414505400.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,260.505.974.104,440.028.499.759,12.972.223.149,713.506.697.012,260505974104.0,440028499759.0,12972223149.0,713506697012.0
Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,,-,-,22.055.159.307,,,,22055159307.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,1.553.434.461.885,1.970.541.809.227,21.255.931.623,3.545.232.202.735,1553434461885.0,1970541809227.0,21255931623.0,3545232202735.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,-,-,3.693.826.723.968,,,,3693826723968.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,1.553.434.461.885,1.970.541.809.227,21.255.931.623,7.239.058.926.703,1553434461885.0,1970541809227.0,21255931623.0,7239058926703.0
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,119.617.766.951,206.519.872.253,88.899.265,326.226.538.469,119617766951.0,206519872253.0,88899265.0,326226538469.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,-,-,1.448.889.089.847,,,,1448889089847.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,119.617.766.951,206.519.872.253,88.899.265,1.775.115.628.310,119617766951.0,206519872253.0,88899265.0,1775115628310.0
