row_label_raw,row_label_full,col_0,01/01/2022 > Giá trị VND,01/01/2022 > Số có khả năng trả nợ VND,Trong năm > Tăng VND,Trong năm > Giảm VND,31/12/2022 > Giá trị VND,31/12/2022 > Số có khả năng trả nợ VND,numeric__01/01/2022 > Giá trị VND,numeric__01/01/2022 > Số có khả năng trả nợ VND,numeric__Trong năm > Tăng VND,numeric__Trong năm > Giảm VND,numeric__31/12/2022 > Giá trị VND,numeric__31/12/2022 > Số có khả năng trả nợ VND
a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,,,,,,
- Vay ngắn hạn,a) Vay ngắn hạn > - Vay ngắn hạn,- Vay ngắn hạn,660.818.974.775,660.818.974.775,3.176.228.868.650,3.352.051.959.463,484.995.883.962,484.995.883.962,660818974775.0,660818974775.0,3176228868650.0,3352051959463.0,484995883962.0,484995883962.0
Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Thanh Xuân,a) Vay ngắn hạn > Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Thanh Xuân,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Thanh Xuân,9.187.596.076,9.187.596.076,-,9.187.596.076,-,-,9187596076.0,9187596076.0,,9187596076.0,,
Ngân hàng Thương mại Cổ phần Công thương Việt Nam,a) Vay ngắn hạn > Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,64.732.200.927,64.732.200.927,113.529.841.155,156.480.365.883,21.781.676.199,21.781.676.199,64732200927.0,64732200927.0,113529841155.0,156480365883.0,21781676199.0,21781676199.0
Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,a) Vay ngắn hạn > Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,407.388.747.772,407.388.747.772,2.759.856.053.603,2.808.887.625.214,358.357.176.161,358.357.176.161,407388747772.0,407388747772.0,2759856053603.0,2808887625214.0,358357176161.0,358357176161.0
Ngân hàng Thương mại Cổ phần Quân Đội - Chi nhánh Đồng Đa,a) Vay ngắn hạn > Ngân hàng Thương mại Cổ phần Quân Đội - Chi nhánh Đồng Đa,Ngân hàng Thương mại Cổ phần Quân Đội - Chi nhánh Đồng Đa,-,-,9.877.348.394,-,9.877.348.394,9.877.348.394,,,9877348394.0,,9877348394.0,9877348394.0
Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vương,a) Vay ngắn hạn > Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vương,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vương,179.510.430.000,179.510.430.000,292.965.625.498,377.496.372.290,94.979.683.208,94.979.683.208,179510430000.0,179510430000.0,292965625498.0,377496372290.0,94979683208.0,94979683208.0
- Trái phiếu dài hạn đến hạn trả,a) Vay ngắn hạn > - Trái phiếu dài hạn đến hạn trả,- Trái phiếu dài hạn đến hạn trả,-,-,450.000.000.000,-,450.000.000.000,450.000.000.000,,,450000000000.0,,450000000000.0,450000000000.0
,,,660.818.974.775,660.818.974.775,3.626.228.868.650,3.352.051.959.463,934.995.883.962,934.995.883.962,660818974775.0,660818974775.0,3626228868650.0,3352051959463.0,934995883962.0,934995883962.0
b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,,,,,,
- Vay dài hạn,b) Vay dài hạn > - Vay dài hạn,- Vay dài hạn,-,-,2.754.000.000,481.280.000,2.272.720.000,2.272.720.000,,,2754000000.0,481280000.0,2272720000.0,2272720000.0
Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà - VND,b) Vay dài hạn > Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà - VND,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà - VND,-,-,2.754.000.000,481.280.000,2.272.720.000,2.272.720.000,,,2754000000.0,481280000.0,2272720000.0,2272720000.0
- Trái phiếu thường,b) Vay dài hạn > - Trái phiếu thường,- Trái phiếu thường,950.000.000.000,950.000.000.000,-,500.000.000.000,450.000.000.000,450.000.000.000,950000000000.0,950000000000.0,,500000000000.0,450000000000.0,450000000000.0
,,,950.000.000.000,950.000.000.000,2.754.000.000,500.481.280.000,452.272.720.000,452.272.720.000,950000000000.0,950000000000.0,2754000000.0,500481280000.0,452272720000.0,452272720000.0
Khoản đến hạn trả trong vòng 12 tháng,b) Vay dài hạn > Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,-,-,,,(450.000.000.000),(450.000.000.000),,,,,-450000000000.0,-450000000000.0
Khoản đến hạn trả sau 12 tháng,b) Vay dài hạn > Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,950.000.000.000,950.000.000.000,,,2.272.720.000,2.272.720.000,950000000000.0,950000000000.0,,,2272720000.0,2272720000.0
