row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc","Phương tiện vận tải,truyền dẫn","Thiết bị, dụng cụquản lý",Cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Phương tiện vận tải,truyền dẫn","numeric__Thiết bị, dụng cụquản lý",numeric__Cộng
,,,VND,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,116.479.910.561,42.230.263.859,15.231.772.678,173.941.947.098,116479910561.0,42230263859.0,15231772678.0,173941947098.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,11.623.405.270,931.754.037,12.555.159.307,,11623405270.0,931754037.0,12555159307.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(1.559.244.182),(196.430.000),(1.755.674.182),,-1559244182.0,-196430000.0,-1755674182.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,116.479.910.561,52.294.424.947,15.967.096.715,184.741.432.223,116479910561.0,52294424947.0,15967096715.0,184741432223.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,12.416.079.279,15.694.702.243,9.898.070.383,38.008.851.905,12416079279.0,15694702243.0,9898070383.0,38008851905.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,4.586.759.820,5.821.338.780,2.704.364.718,13.112.463.318,4586759820.0,5821338780.0,2704364718.0,13112463318.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(14.732.251),(1.113.672.036),-,(1.128.404.287),-14732251.0,-1113672036.0,,-1128404287.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,16.988.106.848,20.402.368.987,12.602.435.101,49.992.910.936,16988106848.0,20402368987.0,12602435101.0,49992910936.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,104.063.831.282,26.535.561.616,5.333.702.295,135.933.095.193,104063831282.0,26535561616.0,5333702295.0,135933095193.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,99.491.803.713,31.892.055.960,3.364.661.614,134.748.521.287,99491803713.0,31892055960.0,3364661614.0,134748521287.0
