row_label_raw,row_label_full,Thông tin chỉ tiết về các khoản cho vay như sau:,Thông tin chỉ tiết về các khoản cho vay như sau:_1,Thông tin chỉ tiết về các khoản cho vay như sau:_2,Thông tin chỉ tiết về các khoản cho vay như sau:_3,Thông tin chỉ tiết về các khoản cho vay như sau:_4,Thông tin chỉ tiết về các khoản cho vay như sau:_5,Thông tin chỉ tiết về các khoản cho vay như sau:_6,Thông tin chỉ tiết về các khoản cho vay như sau:_7,Thông tin chỉ tiết về các khoản cho vay như sau:_8,numeric__Thông tin chỉ tiết về các khoản cho vay như sau:_1,numeric__Thông tin chỉ tiết về các khoản cho vay như sau:_2,numeric__Thông tin chỉ tiết về các khoản cho vay như sau:_3,numeric__Thông tin chỉ tiết về các khoản cho vay như sau:_4,numeric__Thông tin chỉ tiết về các khoản cho vay như sau:_5,numeric__Thông tin chỉ tiết về các khoản cho vay như sau:_6,numeric__Thông tin chỉ tiết về các khoản cho vay như sau:_7,numeric__Thông tin chỉ tiết về các khoản cho vay như sau:_8
,,,Hợp đồng cho vay,Loại tiền,Mục đích,Lãi suất năm,Thời hạn vay,Mục đích vay,31/12/2022,01/01/2022,,,,,,,,
,,,,,,,,,VND,VND,,,,,,,,
Cho vay ngắn han:Công ty Cổ phần Đầu tư và Phát triển Bắt động sản Thế KỳCông ty Cổ phần Đầu tư và Phát triển Bắt động sản Thế KỳCông ty Cổ phần Đầu tư và Phát triển Bắt động sản Thế KỳCông ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Cho vay ngắn han:Công ty Cổ phần Đầu tư và Phát triển Bắt động sản Thế KỳCông ty Cổ phần Đầu tư và Phát triển Bắt động sản Thế KỳCông ty Cổ phần Đầu tư và Phát triển Bắt động sản Thế KỳCông ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Cho vay ngắn han:Công ty Cổ phần Đầu tư và Phát triển Bắt động sản Thế KỳCông ty Cổ phần Đầu tư và Phát triển Bắt động sản Thế KỳCông ty Cổ phần Đầu tư và Phát triển Bắt động sản Thế KỳCông ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Hợp đồng vay vốn số 245/HĐVV/CRE-CIV,VND,Tín chấp,9%/năm,12 tháng,Vay vốn hoạt động kinh doanh,544.703.700.00030.000.000.000,42.660.700.00030.000.000.000,,,,,,,5.447037000003e+22,4.26607000003e+21
Cho vay ngắn han:Công ty Cổ phần Đầu tư và Phát triển Bắt động sản Thế KỳCông ty Cổ phần Đầu tư và Phát triển Bắt động sản Thế KỳCông ty Cổ phần Đầu tư và Phát triển Bắt động sản Thế KỳCông ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Cho vay ngắn han:Công ty Cổ phần Đầu tư và Phát triển Bắt động sản Thế KỳCông ty Cổ phần Đầu tư và Phát triển Bắt động sản Thế KỳCông ty Cổ phần Đầu tư và Phát triển Bắt động sản Thế KỳCông ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Cho vay ngắn han:Công ty Cổ phần Đầu tư và Phát triển Bắt động sản Thế KỳCông ty Cổ phần Đầu tư và Phát triển Bắt động sản Thế KỳCông ty Cổ phần Đầu tư và Phát triển Bắt động sản Thế KỳCông ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Hợp đồng vay vốn số 2501/2022/HĐVV/CENLAND-CIV,VND,Tín chấp,9%/năm,12 tháng,Vay vốn hoạt động kinh doanh,80.000.000.000,-,,,,,,,80000000000.0,
Cho vay ngắn han:Công ty Cổ phần Đầu tư và Phát triển Bắt động sản Thế KỳCông ty Cổ phần Đầu tư và Phát triển Bắt động sản Thế KỳCông ty Cổ phần Đầu tư và Phát triển Bắt động sản Thế KỳCông ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Cho vay ngắn han:Công ty Cổ phần Đầu tư và Phát triển Bắt động sản Thế KỳCông ty Cổ phần Đầu tư và Phát triển Bắt động sản Thế KỳCông ty Cổ phần Đầu tư và Phát triển Bắt động sản Thế KỳCông ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Cho vay ngắn han:Công ty Cổ phần Đầu tư và Phát triển Bắt động sản Thế KỳCông ty Cổ phần Đầu tư và Phát triển Bắt động sản Thế KỳCông ty Cổ phần Đầu tư và Phát triển Bắt động sản Thế KỳCông ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Hợp đồng vay vốn số 2801/2022/HĐVV/CRE-CIV,VND,Tín chấp,9%/năm,12 tháng,Vay vốn hoạt động kinh doanh,40.000.000.000,-,,,,,,,40000000000.0,
Cho vay ngắn han:Công ty Cổ phần Đầu tư và Phát triển Bắt động sản Thế KỳCông ty Cổ phần Đầu tư và Phát triển Bắt động sản Thế KỳCông ty Cổ phần Đầu tư và Phát triển Bắt động sản Thế KỳCông ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Cho vay ngắn han:Công ty Cổ phần Đầu tư và Phát triển Bắt động sản Thế KỳCông ty Cổ phần Đầu tư và Phát triển Bắt động sản Thế KỳCông ty Cổ phần Đầu tư và Phát triển Bắt động sản Thế KỳCông ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Cho vay ngắn han:Công ty Cổ phần Đầu tư và Phát triển Bắt động sản Thế KỳCông ty Cổ phần Đầu tư và Phát triển Bắt động sản Thế KỳCông ty Cổ phần Đầu tư và Phát triển Bắt động sản Thế KỳCông ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,HĐ số 1012/2020/HĐV/CEN-DAINAMSON,VND,Tín chấp,20%/năm,20 tháng,"Thanh toán các chi phí đầu tư của dự án ""Xây dựng khu nhà ở thương mại An Bình Cần Thơ""",3.760.700.000,3.760.700.000,,,,,,,3760700000.0,3760700000.0
Công ty TNHH Quản lý Đối tác liên kết CEN,Công ty TNHH Quản lý Đối tác liên kết CEN,Công ty TNHH Quản lý Đối tác liên kết CEN,01/HĐCV/CRE-LKCEN,VND,Tín chấp,5%/năm,6 tháng,Vay vốn nhằm ký quỹ để đảm bảo độc quyền phân phối bảng hàng tại dự án khu căn hộ FPT Plaza 2,-,8.900.000.000,,,,,,,,8900000000.0
Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,2312/2022/HĐVTS/TL-CRE,VND,Tín chấp,11%/năm,12 tháng,"Sử dụng vào mục đích đầu tư, kinh doanh",351.943.000.000,-,,,,,,,351943000000.0,
Công ty cổ phần CONSGROUP,Công ty cổ phần CONSGROUP,Công ty cổ phần CONSGROUP,001/2022/HĐVV/CRE-COG,VND,Tín chấp,11%/năm,6 tháng,Vay vốn nhằm ký quỹ để đảm bảo độc quyền phân phối bảng hàng tại dự án khu căn hộ FPT Plaza 2,39.000.000.000,-,,,,,,,39000000000.0,
Cho vay dài hạn:Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,Cho vay dài hạn:Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,Cho vay dài hạn:Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,Hợp đồng vay tài sản số 28012022-01/HĐVTS/TL-CRE,VND,Tín chấp,11%/năm,36 tháng,"Sử dụng vào mục đích đầu tư, kinh doanh",-,281.200.000.000281.200.000.000,,,,,,,,2.812000000002812e+23
,,,,,,,,,544.703.700.000,323.860.700.000,,,,,,,544703700000.0,323860700000.0
