row_label_raw,row_label_full,Báo cáo của Ban Tổng Giám đốc,02 - 03,numeric__02 - 03
Báo cáo kiểm toán độc lập,Báo cáo kiểm toán độc lập,Báo cáo kiểm toán độc lập,04,4.0
Báo cáo tài chính riêng đã được kiểm toán,Báo cáo tài chính riêng đã được kiểm toán,Báo cáo tài chính riêng đã được kiểm toán,05 - 48,
Bàng cân đối kế toán riêng,Bàng cân đối kế toán riêng,Bàng cân đối kế toán riêng,05 - 07,
Báo cáo kết quả hoạt động kinh doanh riêng,Bàng cân đối kế toán riêng > Báo cáo kết quả hoạt động kinh doanh riêng,Báo cáo kết quả hoạt động kinh doanh riêng,08,8.0
Báo cáo lưu chuyển tiền tệ riêng,Báo cáo lưu chuyển tiền tệ riêng,Báo cáo lưu chuyển tiền tệ riêng,09 - 10,
Thuyết minh Báo cáo tài chính riêng,Thuyết minh Báo cáo tài chính riêng,Thuyết minh Báo cáo tài chính riêng,11 - 48,
