row_label_raw,row_label_full,Tên dự án,Số tiền (VND),numeric__Số tiền (VND)
Dự án Golden Hill,Dự án Golden Hill,Dự án Golden Hill,98.600.000.000,98600000000.0
Dự án Dabaco Lạc Vệ,Dự án Dabaco Lạc Vệ,Dự án Dabaco Lạc Vệ,44.000.000.000,44000000000.0
Dự án Bình Minh,Dự án Bình Minh,Dự án Bình Minh,83.450.299.008,83450299008.0
Dự án Eurowindow,Dự án Eurowindow,Dự án Eurowindow,142.200.000.000,142200000000.0
Dự án Dabaco Lý Thái Tổ,Dự án Dabaco Lý Thái Tổ,Dự án Dabaco Lý Thái Tổ,43.200.000.000,43200000000.0
Dự án Hoa Tiên Paradise,Dự án Hoa Tiên Paradise,Dự án Hoa Tiên Paradise,517.652.885.936,517652885936.0
Cộng,Cộng,Cộng,929.103.184.944,929103184944.0
