row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay > VND,Năm trước > VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay > VND,numeric__Năm trước > VND
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,24,3.295.917.900.525,5.383.245.634.929,,24.0,3295917900525.0,5383245634929.0
02,02,02,2. Các khoản giảm trừ doanh thu,25,193.996.698.113,142.095.163.636,,25.0,193996698113.0,142095163636.0
10,10,10,3. Doanh thu thuần bán hàng và cung cấp dịch vụ,,3.101.921.202.412,5.241.150.471.293,,,3101921202412.0,5241150471293.0
11,11,11,4. Giá vốn hàng bán,27,2.388.414.505.400,4.306.267.853.091,,27.0,2388414505400.0,4306267853091.0
20,20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,713.506.697.012,934.882.618.202,,,713506697012.0,934882618202.0
21,21,21,6. Doanh thu hoạt động tài chính,28,104.269.117.481,74.972.245.551,,28.0,104269117481.0,74972245551.0
22,22,22,7. Chi phí tài chính,29,145.291.149.741,149.003.091.361,,29.0,145291149741.0,149003091361.0
23,23,23,Trong đó: Chi phí lãi vay,,47.716.199.355,59.410.625.608,,,47716199355.0,59410625608.0
25,25,25,8. Chi phí bán hàng,30,231.193.113.161,163.434.975.634,,30.0,231193113161.0,163434975634.0
26,26,26,9. Chi phí quản lý doanh nghiệp,31,201.903.675.017,134.532.761.814,,31.0,201903675017.0,134532761814.0
30,30,30,10. Lợi nhuận thuần từ hoạt động kinh doanh,,239.387.876.574,562.884.034.944,,,239387876574.0,562884034944.0
31,31,31,11. Thu nhập khác,32,8.999.794.584,1.630.648.817,,32.0,8999794584.0,1630648817.0
32,32,32,12. Chi phí khác,33,10.119.375.372,6.475.733.164,,33.0,10119375372.0,6475733164.0
40,40,40,13. Lợi nhuận khác,,(1.119.580.788),(4.845.084.347),,,-1119580788.0,-4845084347.0
50,50,50,14. Tổng lợi nhuận kế toán trước thuế,,238.268.295.786,558.038.950.597,,,238268295786.0,558038950597.0
51,51,51,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,34,49.295.826.995,111.956.764.202,,34.0,49295826995.0,111956764202.0
52,52,52,16. Chi phí thuế thu nhập doanh nghiệp hoãn lại,,-,-,,,,
60,52 > 60,60,17. Lợi nhuận sau thuế thu nhập doanh nghiệp,,188.972.468.791,446.082.186.395,,,188972468791.0,446082186395.0
