row_label_raw,row_label_full,col_0,"Phương tiện vận tải,truyền dẫn",Thiết bị dụng cụquản lý,Tổng cộng,"numeric__Phương tiện vận tải,truyền dẫn",numeric__Thiết bị dụng cụquản lý,numeric__Tổng cộng
,,,VND,VND,VND,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Tại ngày 01/01/2015,NGUYÊN GIÁ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,5.854.810.000,108.309.091,5.963.119.091,5854810000.0,108309091.0,5963119091.0
"- Thanh lý, nhượng bán","NGUYÊN GIÁ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",2.117.210.000,-,2.117.210.000,2117210000.0,,2117210000.0
Tại ngày 31/12/2015,NGUYÊN GIÁ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,3.737.600.000,108.309.091,3.845.909.091,3737600000.0,108309091.0,3845909091.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Tại ngày 01/01/2015,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,1.218.625.768,17.031.951,1.235.657.719,1218625768.0,17031951.0,1235657719.0
- Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > - Khấu hao trong năm,- Khấu hao trong năm,834.085.193,36.103.032,870.188.225,834085193.0,36103032.0,870188225.0
"- Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",1.299.162.576,-,1.299.162.576,1299162576.0,,1299162576.0
Tại ngày 31/12/2015,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,753.548.385,53.134.983,806.683.368,753548385.0,53134983.0,806683368.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày 01/01/2015,GIÁ TRỊ CÒN LẠI > Tại ngày 01/01/2015,Tại ngày 01/01/2015,4.636.184.232,91.277.140,4.727.461.372,4636184232.0,91277140.0,4727461372.0
Tại ngày 31/12/2015,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2015,Tại ngày 31/12/2015,2.984.051.615,55.174.108,3.039.225.723,2984051615.0,55174108.0,3039225723.0
