row_label_raw,row_label_full,col_0,31/12/2015 > Giá trị,31/12/2015 > Số có khả năng trả nợ,Trong năm > Giảm,Trong năm > Tăng,01/01/2015 > Giá trị,01/01/2015 > Số có khả năng trả nợ,numeric__31/12/2015 > Giá trị,numeric__31/12/2015 > Số có khả năng trả nợ,numeric__Trong năm > Giảm,numeric__Trong năm > Tăng,numeric__01/01/2015 > Giá trị,numeric__01/01/2015 > Số có khả năng trả nợ
,,,VND,VND,VND,VND,VND,VND,,,,,,
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,581.883.842.956,581.883.842.956,6.926.500.651.414,7.456.584.494.370,51.800.000.000,51.800.000.000,581883842956.0,581883842956.0,6926500651414.0,7456584494370.0,51800000000.0,51800000000.0
Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,383.201.842.956,383.201.842.956,4.281.350.890.854,4.612.752.733.810,51.800.000.000,51.800.000.000,383201842956.0,383201842956.0,4281350890854.0,4612752733810.0,51800000000.0,51800000000.0
Ngân hàng VP Bank (i),Ngân hàng VP Bank (i),Ngân hàng VP Bank (i),230.000.000.000,230.000.000.000,2.256.920.000.000,2.435.120.000.000,51.800.000.000,51.800.000.000,230000000000.0,230000000000.0,2256920000000.0,2435120000000.0,51800000000.0,51800000000.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (ii),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (ii),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (ii),153.201.842.956,153.201.842.956,1.960.730.890.854,2.113.932.733.810,-,-,153201842956.0,153201842956.0,1960730890854.0,2113932733810.0,,
Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,-,-,63.700.000.000,63.700.000.000,-,-,,,63700000000.0,63700000000.0,,
Vay công ty chứng khoán,Vay công ty chứng khoán,Vay công ty chứng khoán,-,-,2.111.081.760.560,2.111.081.760.560,-,-,,,2111081760560.0,2111081760560.0,,
Công ty Chứng khoán ngân hàng Việt Nam Thịnh Vượng VPBS,Công ty Chứng khoán ngân hàng Việt Nam Thịnh Vượng VPBS,Công ty Chứng khoán ngân hàng Việt Nam Thịnh Vượng VPBS,-,-,1.147.998.741.044,1.147.998.741.044,-,-,,,1147998741044.0,1147998741044.0,,
Công ty Cổ phần Chứng khoán Đại Nam,Công ty Cổ phần Chứng khoán Đại Nam,Công ty Cổ phần Chứng khoán Đại Nam,-,-,3.845.760.000,3.845.760.000,-,-,,,3845760000.0,3845760000.0,,
Công ty CP Chứng khoán ngân hàng ĐT và PT VN,Công ty CP Chứng khoán ngân hàng ĐT và PT VN,Công ty CP Chứng khoán ngân hàng ĐT và PT VN,-,-,959.237.259.516,959.237.259.516,-,-,,,959237259516.0,959237259516.0,,
Vay tổ chức khác (iii),Vay tổ chức khác (iii),Vay tổ chức khác (iii),198.682.000.000,198.682.000.000,534.068.000.000,732.750.000.000,,,198682000000.0,198682000000.0,534068000000.0,732750000000.0,,
Công ty CP Chế biến thực phẩm XK Miền Tây,Công ty CP Chế biến thực phẩm XK Miền Tây,Công ty CP Chế biến thực phẩm XK Miền Tây,86.300.000.000,86.300.000.000,-,86.300.000.000,-,-,86300000000.0,86300000000.0,,86300000000.0,,
Công ty Cổ phần Hạt Giống TSC,Công ty Cổ phần Hạt Giống TSC,Công ty Cổ phần Hạt Giống TSC,57.000.000.000,57.000.000.000,15.800.000.000,72.800.000.000,-,-,57000000000.0,57000000000.0,15800000000.0,72800000000.0,,
Công ty CP Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Công ty CP Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Công ty CP Vật tư Kỹ thuật Nông nghiệp Cần Thơ,33.882.000.000,33.882.000.000,518.268.000.000,552.150.000.000,-,-,33882000000.0,33882000000.0,518268000000.0,552150000000.0,,
Công ty Cổ phần Nông được TSC,Công ty Cổ phần Nông được TSC,Công ty Cổ phần Nông được TSC,21.500.000.000,21.500.000.000,-,21.500.000.000,-,-,21500000000.0,21500000000.0,,21500000000.0,,
Ghi chú:,Ghi chú:,Ghi chú:,Ghi chú:,Ghi chú:,Ghi chú:,Ghi chú:,Ghi chú:,Ghi chú:,,,,,,
