row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm 2015,Năm 2014,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2015,numeric__Năm 2014
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,18,14.995.975.716,46.176.054.886,1.0,18.0,14995975716.0,46176054886.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,,-,33.074.407,2.0,,,33074407.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ(10 = 01 - 02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ(10 = 01 - 02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ(10 = 01 - 02),10,,14.995.975.716,46.142.980.479,10.0,,14995975716.0,46142980479.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,11,19,2.201.141.682,19.802.859.565,11.0,19.0,2201141682.0,19802859565.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20 = 10 - 11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20 = 10 - 11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20 = 10 - 11),20,,12.794.834.034,26.340.120.914,20.0,,12794834034.0,26340120914.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,21,213.216.573.310,128.673.236.870,21.0,21.0,213216573310.0,128673236870.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,22,20.829.447.623,6.364.336.602,22.0,22.0,20829447623.0,6364336602.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,16.745.440.605,2.085.635.801,23.0,,16745440605.0,2085635801.0
8. Chi phí bán hàng,8. Chi phí bán hàng,8. Chi phí bán hàng,25,,485.201.625,3.112.086.823,25.0,,485201625.0,3112086823.0
9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,26,,21.434.403.697,9.026.109.275,26.0,,21434403697.0,9026109275.0
10. Lợi nhuận thuần từ hoạt động kinh doanh{30 = 20 + (21 - 22) - (25 + 26)},10. Lợi nhuận thuần từ hoạt động kinh doanh{30 = 20 + (21 - 22) - (25 + 26)},10. Lợi nhuận thuần từ hoạt động kinh doanh{30 = 20 + (21 - 22) - (25 + 26)},30,,183.262.354.399,136.510.825.084,30.0,,183262354399.0,136510825084.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,,854.976.053,6.063.633.430,31.0,,854976053.0,6063633430.0
12. Chi phí khác,12. Chi phí khác,12. Chi phí khác,32,,855.070.620,6.339.369.055,32.0,,855070620.0,6339369055.0
13. Lợi nhuận khác (40 = 31 - 32),13. Lợi nhuận khác (40 = 31 - 32),13. Lợi nhuận khác (40 = 31 - 32),40,,(94.567),(275.735.625),40.0,,-94567.0,-275735625.0
14. Tổng lợi nhuận kế toán trước thuế (50 = 30 + 40),14. Tổng lợi nhuận kế toán trước thuế (50 = 30 + 40),14. Tổng lợi nhuận kế toán trước thuế (50 = 30 + 40),50,,183.262.259.832,136.235.089.459,50.0,,183262259832.0,136235089459.0
15. Chi phí thuế TNDN hiện hành,15. Chi phí thuế TNDN hiện hành,15. Chi phí thuế TNDN hiện hành,51,23,40.571.745.757,30.074.190.722,51.0,23.0,40571745757.0,30074190722.0
16. Lợi nhuận sau thuế thu nhập doanh nghiệp(60 = 50 - 51),16. Lợi nhuận sau thuế thu nhập doanh nghiệp(60 = 50 - 51),16. Lợi nhuận sau thuế thu nhập doanh nghiệp(60 = 50 - 51),60,,142.690.514.075,106.160.898.737,60.0,,142690514075.0,106160898737.0
