row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2015,01/01/2015,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015,numeric__01/01/2015
A - TÀI SẢN NGĂN HẠN(100 = 110 + 120 + 130 + 150),A - TÀI SẢN NGĂN HẠN(100 = 110 + 120 + 130 + 150),A - TÀI SẢN NGĂN HẠN(100 = 110 + 120 + 130 + 150),100,,1.651.862.301.365,437.474.586.052,100.0,,1651862301365.0,437474586052.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5,608.801.275.703,177.195.914.230,110.0,5.0,608801275703.0,177195914230.0
1. Tiền,1. Tiền,1. Tiền,111,,28.324.275.703,11.765.914.230,111.0,,28324275703.0,11765914230.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,580.477.000.000,165.430.000.000,112.0,,580477000000.0,165430000000.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,6,992.156.495.671,216.401.816.078,120.0,6.0,992156495671.0,216401816078.0
1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,121,,192.680.719.593,37.739.290.000,121.0,,192680719593.0,37739290000.0
2. Đầu tư nằm giữ đến ngày đáo hạn,2. Đầu tư nằm giữ đến ngày đáo hạn,2. Đầu tư nằm giữ đến ngày đáo hạn,123,,799.475.776.078,178.662.526.078,123.0,,799475776078.0,178662526078.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,50.099.353.048,42.973.518.068,130.0,,50099353048.0,42973518068.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,,1.142.436.958,34.441.966.120,131.0,,1142436958.0,34441966120.0
2. Trà trước cho người bán ngắn hạn,2. Trà trước cho người bán ngắn hạn,2. Trà trước cho người bán ngắn hạn,132,,25.143.414.124,4.210.988.343,132.0,,25143414124.0,4210988343.0
3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,135,7,14.000.000.000,-,135.0,7.0,14000000000.0,
4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,136,8,14.572.868.660,5.016.800.733,136.0,8.0,14572868660.0,5016800733.0
5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,137,,(4.759.366.694),(696.237.128),137.0,,-4759366694.0,-696237128.0
IV. Tài sản ngắn hạn khác,IV. Tài sản ngắn hạn khác,IV. Tài sản ngắn hạn khác,150,,805.176.943,903.337.676,150.0,,805176943.0,903337676.0
1. Chỉ phí trả trước ngắn hạn,1. Chỉ phí trả trước ngắn hạn,1. Chỉ phí trả trước ngắn hạn,151,11,351.758.654,162.318.195,151.0,11.0,351758654.0,162318195.0
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,,453.418.289,741.019.481,152.0,,453418289.0,741019481.0
B - TÀI SẢN DÀI HẠN(200 = 210 + 220 + 230 + 240 + 250 + 260),B - TÀI SẢN DÀI HẠN(200 = 210 + 220 + 230 + 240 + 250 + 260),B - TÀI SẢN DÀI HẠN(200 = 210 + 220 + 230 + 240 + 250 + 260),200,,1.528.179.457.696,299.935.312.812,200.0,,1528179457696.0,299935312812.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,1.311.075.000,311.075.000,210.0,,1311075000.0,311075000.0
1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,216,8,1.311.075.000,311.075.000,216.0,8.0,1311075000.0,311075000.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,3.216.205.467,4.846.007.788,220.0,,3216205467.0,4846007788.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,9,3.039.225.723,4.727.461.372,221.0,9.0,3039225723.0,4727461372.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,3.845.909.091,5.963.119.091,222.0,,3845909091.0,5963119091.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(806.683.368),(1.235.657.719),223.0,,-806683368.0,-1235657719.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,,176.979.744,118.546.416,227.0,,176979744.0,118546416.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,205.700.000,118.700.000,228.0,,205700000.0,118700000.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,,(28.720.256),(153.584),229.0,,-28720256.0,-153584.0
III. Bất động sản đầu tư,III. Bất động sản đầu tư,III. Bất động sản đầu tư,230,10,15.124.401.902,15.527.425.790,230.0,10.0,15124401902.0,15527425790.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,231,,16.005.358.352,16.005.358.352,231.0,,16005358352.0,16005358352.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,232,,(880.956.450),(477.932.562),232.0,,-880956450.0,-477932562.0
IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,240,,2.453.605.540,-,240.0,,2453605540.0,
1. Chỉ phí xây dựng cơ bản dở dang,1. Chỉ phí xây dựng cơ bản dở dang,1. Chỉ phí xây dựng cơ bản dở dang,242,,2.453.605.540,-,242.0,,2453605540.0,
V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,250,6,1.502.784.426.797,277.710.594.799,250.0,6.0,1502784426797.0,277710594799.0
1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,251,,1.502.484.426.797,231.724.346.750,251.0,,1502484426797.0,231724346750.0
"2. Đầu tư vào công ty liên doanh, liên kết","2. Đầu tư vào công ty liên doanh, liên kết","2. Đầu tư vào công ty liên doanh, liên kết",252,,-,29.385.000.000,252.0,,,29385000000.0
3. Đầu tư góp vốn vào đơn vị khác,3. Đầu tư góp vốn vào đơn vị khác,3. Đầu tư góp vốn vào đơn vị khác,253,,300.000.000,-,253.0,,300000000.0,
4. Dự phòng đầu tư tài chính dài hạn,4. Dự phòng đầu tư tài chính dài hạn,4. Dự phòng đầu tư tài chính dài hạn,254,,-,(2.347.241.951),254.0,,,-2347241951.0
5. Đầu tư nằm giữ đến ngày đáo hạn,5. Đầu tư nằm giữ đến ngày đáo hạn,5. Đầu tư nằm giữ đến ngày đáo hạn,255,,-,18.948.490.000,255.0,,,18948490000.0
VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,260,,3.289.742.990,1.540.209.435,260.0,,3289742990.0,1540209435.0
1. Chỉ phí trả trước dài hạn,1. Chỉ phí trả trước dài hạn,1. Chỉ phí trả trước dài hạn,261,11,3.289.742.990,1.540.209.435,261.0,11.0,3289742990.0,1540209435.0
