row_label_raw,row_label_full,col_0,Giá trị ghi sổ > 31/12/2015,Giá trị ghi sổ > 01/01/2015,Giá trị hợp lý > 31/12/2015,Giá trị hợp lý > 01/01/2015,numeric__Giá trị ghi sổ > 31/12/2015,numeric__Giá trị ghi sổ > 01/01/2015,numeric__Giá trị hợp lý > 31/12/2015,numeric__Giá trị hợp lý > 01/01/2015
,,,VND,VND,VND,VND,,,,
Tải sân tài chính,Tải sân tài chính,Tải sân tài chính,Tải sân tài chính,Tải sân tài chính,Tải sân tài chính,Tải sân tài chính,,,,
Tiền và các khoản tương đương tiền,Tải sân tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,608.801.275.703,177.195.914.230,608.801.275.703,177.195.914.230,608801275703.0,177195914230.0,608801275703.0,177195914230.0
Phải thu khách hàng và phải thu khác,Tải sân tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,10.955.938.924,38.762.529.725,10.955.938.924,38.762.529.725,10955938924.0,38762529725.0,10955938924.0,38762529725.0
Đầu tư tài chính ngắn hạn,Tải sân tài chính > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,992.156.495.671,216.401.816.078,992.156.495.671,216.401.816.078,992156495671.0,216401816078.0,992156495671.0,216401816078.0
Đầu tư tài chính dài hạn,Tải sân tài chính > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,1.502.784.426.797,277.710.594.799,1.502.784.426.797,277.710.594.799,1502784426797.0,277710594799.0,1502784426797.0,277710594799.0
Các khoản ký quỹ,Tải sân tài chính > Các khoản ký quỹ,Các khoản ký quỹ,1.311.075.000,311.075.000,1.311.075.000,311.075.000,1311075000.0,311075000.0,1311075000.0,311075000.0
Tổng cộng,Tải sân tài chính > Tổng cộng,Tổng cộng,3.116.009.212.095,710.381.929.832,3.116.009.212.095,710.381.929.832,3116009212095.0,710381929832.0,3116009212095.0,710381929832.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,581.883.842.956,51.800.000.000,581.883.842.956,51.800.000.000,581883842956.0,51800000000.0,581883842956.0,51800000000.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,283.651.708.971,25.995.700.623,283.651.708.971,25.995.700.623,283651708971.0,25995700623.0,283651708971.0,25995700623.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,2.055.165.086,1.377.523.262,2.055.165.086,1.377.523.262,2055165086.0,1377523262.0,2055165086.0,1377523262.0
Tổng cộng,Công nợ tài chính > Tổng cộng,Tổng cộng,867.590.717.013,79.173.223.885,867.590.717.013,79.173.223.885,867590717013.0,79173223885.0,867590717013.0,79173223885.0
