row_label_raw,row_label_full,col_0,31/12/2015 > Giá gốc,31/12/2015 > Giá trị ghi số,01/01/2015 > Giá gốc,01/01/2015 > Giá trị ghi số,numeric__31/12/2015 > Giá gốc,numeric__31/12/2015 > Giá trị ghi số,numeric__01/01/2015 > Giá gốc,numeric__01/01/2015 > Giá trị ghi số
,,,VND,VND,VND,VND,,,,
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,799.475.776.078,799.475.776.078,197.611.016.078,197.611.016.078,799475776078.0,799475776078.0,197611016078.0,197611016078.0
Ngắn hạn,Ngắn hạn,Ngắn hạn,799.475.776.078,799.475.776.078,178.662.526.078,178.662.526.078,799475776078.0,799475776078.0,178662526078.0,178662526078.0
- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,567.800.000.000,567.800.000.000,37.520.000.000,37.520.000.000,567800000000.0,567800000000.0,37520000000.0,37520000000.0
- Các khoản đầu tư khác (i),- Các khoản đầu tư khác (i),- Các khoản đầu tư khác (i),231.675.776.078,231.675.776.078,141.142.526.078,141.142.526.078,231675776078.0,231675776078.0,141142526078.0,141142526078.0
+ Khoản đầu tư vào tổ chức,+ Khoản đầu tư vào tổ chức,+ Khoản đầu tư vào tổ chức,30.535.632.350,30.535.632.350,140.859.632.350,140.859.632.350,30535632350.0,30535632350.0,140859632350.0,140859632350.0
Công ty CP TM SX và dịch vụ Sao Nam,Công ty CP TM SX và dịch vụ Sao Nam,Công ty CP TM SX và dịch vụ Sao Nam,22.551.632.350,22.551.632.350,20.551.632.350,20.551.632.350,22551632350.0,22551632350.0,20551632350.0,20551632350.0
Công ty TNHH Xuất nhập khẩu và Thương mại,Công ty TNHH Xuất nhập khẩu và Thương mại,Công ty TNHH Xuất nhập khẩu và Thương mại,7.984.000.000,7.984.000.000,44.910.000.000,44.910.000.000,7984000000.0,7984000000.0,44910000000.0,44910000000.0
F.I.T Việt Nam,F.I.T Việt Nam,F.I.T Việt Nam,,,,,,,,
Công ty Cổ phần Tập đoàn F.I.T,F.I.T Việt Nam > Công ty Cổ phần Tập đoàn F.I.T,Công ty Cổ phần Tập đoàn F.I.T,-,-,71.398.000.000,71.398.000.000,,,71398000000.0,71398000000.0
Công ty CP Vật tư Kỹ thuật Nông nghiệp Cần Thơ (TSC),F.I.T Việt Nam > Công ty CP Vật tư Kỹ thuật Nông nghiệp Cần Thơ (TSC),Công ty CP Vật tư Kỹ thuật Nông nghiệp Cần Thơ (TSC),-,-,4.000.000.000,4.000.000.000,,,4000000000.0,4000000000.0
+ Khoản đầu tư vào cá nhân,F.I.T Việt Nam > + Khoản đầu tư vào cá nhân,+ Khoản đầu tư vào cá nhân,201.140.143.728,201.140.143.728,282.893.728,282.893.728,201140143728.0,201140143728.0,282893728.0,282893728.0
Đỗ Thị Hoàng Yến,F.I.T Việt Nam > Đỗ Thị Hoàng Yến,Đỗ Thị Hoàng Yến,67.680.000.000,67.680.000.000,-,-,67680000000.0,67680000000.0,,
Nguyễn Bích Hà Nguyên,F.I.T Việt Nam > Nguyễn Bích Hà Nguyên,Nguyễn Bích Hà Nguyên,52.875.000.000,52.875.000.000,-,-,52875000000.0,52875000000.0,,
Thái Quang Huy,F.I.T Việt Nam > Thái Quang Huy,Thái Quang Huy,51.606.000.000,51.606.000.000,-,-,51606000000.0,51606000000.0,,
Thái Minh Hoàng,F.I.T Việt Nam > Thái Minh Hoàng,Thái Minh Hoàng,28.764.000.000,28.764.000.000,-,-,28764000000.0,28764000000.0,,
Các đối tượng khác,F.I.T Việt Nam > Các đối tượng khác,Các đối tượng khác,215.143.728,215.143.728,282.893.728,282.893.728,215143728.0,215143728.0,282893728.0,282893728.0
Dài hạn,F.I.T Việt Nam > Dài hạn,Dài hạn,-,-,18.948.490.000,18.948.490.000,,,18948490000.0,18948490000.0
- Các khoản đầu tư khác,F.I.T Việt Nam > - Các khoản đầu tư khác,- Các khoản đầu tư khác,-,-,18.948.490.000,18.948.490.000,,,18948490000.0,18948490000.0
