row_label_raw,row_label_full,col_0,31/12/2015 > Giá gốc,31/12/2015 > Giá trị hợp lý,31/12/2015 > Dự phòng,01/01/2015 > Giá gốc,01/01/2015 > Giá trị hợp lý,01/01/2015 > Dự phòng,numeric__31/12/2015 > Giá gốc,numeric__31/12/2015 > Giá trị hợp lý,numeric__31/12/2015 > Dự phòng,numeric__01/01/2015 > Giá gốc,numeric__01/01/2015 > Giá trị hợp lý,numeric__01/01/2015 > Dự phòng
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,VND,VND,VND,VND,VND,VND,,,,,,
Chứng khoán kinh doanh,Chứng khoán kinh doanh > Chứng khoán kinh doanh,Chứng khoán kinh doanh,192.680.719.593,192.680.719.593,-,37.739.290.000,37.739.290.000,-,192680719593.0,192680719593.0,,37739290000.0,37739290000.0,
- Tổng giá trị cổ phiếu,Chứng khoán kinh doanh > - Tổng giá trị cổ phiếu,- Tổng giá trị cổ phiếu,31.674.374.763,31.674.374.763,-,37.739.290.000,37.739.290.000,-,31674374763.0,31674374763.0,,37739290000.0,37739290000.0,
Đầu tư chứng khoán đã được niêm yết,Chứng khoán kinh doanh > Đầu tư chứng khoán đã được niêm yết,Đầu tư chứng khoán đã được niêm yết,31.174.374.763,31.174.374.763,-,37.239.290.000,37.239.290.000,-,31174374763.0,31174374763.0,,37239290000.0,37239290000.0,
Công ty Cổ phần Phân bón dầu khí Cà Mau,Chứng khoán kinh doanh > Công ty Cổ phần Phân bón dầu khí Cà Mau,Công ty Cổ phần Phân bón dầu khí Cà Mau,-,-,-,36.900.000.000,36.900.000.000,-,,,,36900000000.0,36900000000.0,
Công ty Cổ phần Tập đoàn Nhựa Đông Á,Chứng khoán kinh doanh > Công ty Cổ phần Tập đoàn Nhựa Đông Á,Công ty Cổ phần Tập đoàn Nhựa Đông Á,15.553.125.000,15.553.125.000,-,-,-,-,15553125000.0,15553125000.0,,,,
Tổng Công ty Cổ phần Vận tải dầu khí,Chứng khoán kinh doanh > Tổng Công ty Cổ phần Vận tải dầu khí,Tổng Công ty Cổ phần Vận tải dầu khí,15.621.239.763,15.621.239.763,-,-,-,-,15621239763.0,15621239763.0,,,,
Đối tượng khác,Chứng khoán kinh doanh > Đối tượng khác,Đối tượng khác,10.000,10.000,-,339.290.000,339.290.000,-,10000.0,10000.0,,339290000.0,339290000.0,
Đầu tư chứng khoán chưa niêm yết,Chứng khoán kinh doanh > Đầu tư chứng khoán chưa niêm yết,Đầu tư chứng khoán chưa niêm yết,500.000.000,500.000.000,-,500.000.000,500.000.000,-,500000000.0,500000000.0,,500000000.0,500000000.0,
Công ty Cổ phần Đầu tư và phát triển Nghệ An,Chứng khoán kinh doanh > Công ty Cổ phần Đầu tư và phát triển Nghệ An,Công ty Cổ phần Đầu tư và phát triển Nghệ An,500.000.000,500.000.000,-,500.000.000,500.000.000,-,500000000.0,500000000.0,,500000000.0,500000000.0,
- Trải phiếu chính phủ,Chứng khoán kinh doanh > - Trải phiếu chính phủ,- Trải phiếu chính phủ,161.006.344.830,161.006.344.830,-,-,-,-,161006344830.0,161006344830.0,,,,
