row_label_raw,row_label_full,col_0,Dưới 1 năm,Từ 1 - 5 năm,Tổng,numeric__Dưới 1 năm,numeric__Từ 1 - 5 năm,numeric__Tổng
,,,VND,VND,VND,,,
Tại 01/01/2015,Tại 01/01/2015,Tại 01/01/2015,Tại 01/01/2015,Tại 01/01/2015,Tại 01/01/2015,,,
Tiền và các khoản tương đương tiền,Tại 01/01/2015 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,177.195.914.230,-,177.195.914.230,177195914230.0,,177195914230.0
Phải thu khách hàng và phải thu khác,Tại 01/01/2015 > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,38.762.529.725,-,38.762.529.725,38762529725.0,,38762529725.0
Đầu tư tài chính ngắn hạn,Tại 01/01/2015 > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,216.401.816.078,-,216.401.816.078,216401816078.0,,216401816078.0
Đầu tư tài chính dài hạn,Tại 01/01/2015 > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,-,277.710.594.799,277.710.594.799,,277710594799.0,277710594799.0
Các khoản ký quỹ,Tại 01/01/2015 > Các khoản ký quỹ,Các khoản ký quỹ,-,311.075.000,311.075.000,,311075000.0,311075000.0
Tổng cộng,Tại 01/01/2015 > Tổng cộng,Tổng cộng,432.360.260.033,278.021.669.799,710.381.929.832,432360260033.0,278021669799.0,710381929832.0
Tại 01/01/2015,Tại 01/01/2015,Tại 01/01/2015,Tại 01/01/2015,Tại 01/01/2015,Tại 01/01/2015,,,
Các khoản vay,Tại 01/01/2015 > Các khoản vay,Các khoản vay,51.800.000.000,-,51.800.000.000,51800000000.0,,51800000000.0
Phải trả người bán và phải trả khác,Tại 01/01/2015 > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,25.876.228.623,119.472.000,25.995.700.623,25876228623.0,119472000.0,25995700623.0
Chi phí phải trả,Tại 01/01/2015 > Chi phí phải trả,Chi phí phải trả,1.377.523.262,-,1.377.523.262,1377523262.0,,1377523262.0
Tổng cộng,Tại 01/01/2015 > Tổng cộng,Tổng cộng,79.053.751.885,119.472.000,79.173.223.885,79053751885.0,119472000.0,79173223885.0
Chênh lệch thanh khoản thuần,Tại 01/01/2015 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,353.306.508.148,277.902.197.799,631.208.705.947,353306508148.0,277902197799.0,631208705947.0
