row_label_raw,row_label_full,col_0,Số năm nay,Số năm trước,numeric__Số năm nay,numeric__Số năm trước
Lợi nhuận/(lỗ) thuần trước thuế,Lợi nhuận/(lỗ) thuần trước thuế,Lợi nhuận/(lỗ) thuần trước thuế,623.094.091.939,756.262.968.270,623094091939.0,756262968270.0
Các điều chỉnh tăng/(giảm) lợi nhuận/(lỗ) theo kế toán,Các điều chỉnh tăng/(giảm) lợi nhuận/(lỗ) theo kế toán,Các điều chỉnh tăng/(giảm) lợi nhuận/(lỗ) theo kế toán,(41.332.807.405),(145.760.682.044),-41332807405.0,-145760682044.0
Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,144.128.237.345,188.700.373.779,144128237345.0,188700373779.0
Chi phí không được trì,Chi phí không được trì,Chi phí không được trì,144.128.237.345,188.700.373.779,144128237345.0,188700373779.0
Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,(185.461.044.750),(334.461.055.823),-185461044750.0,-334461055823.0
Cổ tức lợi nhuận được chia,Cổ tức lợi nhuận được chia,Cổ tức lợi nhuận được chia,(185.461.044.750),(334.461.055.823),-185461044750.0,-334461055823.0
Lợi nhuận/(lỗ) điều chỉnh trước thuế chưa trừ lỗ năm trước,Lợi nhuận/(lỗ) điều chỉnh trước thuế chưa trừ lỗ năm trước,Lợi nhuận/(lỗ) điều chỉnh trước thuế chưa trừ lỗ năm trước,581.761.284.534,610.502.286.226,581761284534.0,610502286226.0
Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,-,-,,
Thu nhập tính thuế,Lỗ năm trước chuyển sang > Thu nhập tính thuế,Thu nhập tính thuế,581.761.284.534,610.502.286.226,581761284534.0,610502286226.0
Thuế suất thuế TNDN hiện hành,Lỗ năm trước chuyển sang > Thuế suất thuế TNDN hiện hành,Thuế suất thuế TNDN hiện hành,20%,20%,0.2,0.2
Thuế TNDN phải nộp,Lỗ năm trước chuyển sang > Thuế TNDN phải nộp,Thuế TNDN phải nộp,116.352.256.907,122.100.457.245,116352256907.0,122100457245.0
Thuế TNDN được miễn giảm (*),Lỗ năm trước chuyển sang > Thuế TNDN được miễn giảm (*),Thuế TNDN được miễn giảm (*),(41.207.778.697),(53.970.020.680),-41207778697.0,-53970020680.0
Thuế TNDN hiện hành,Lỗ năm trước chuyển sang > Thuế TNDN hiện hành,Thuế TNDN hiện hành,75.144.478.210,68.130.436.565,75144478210.0,68130436565.0
