row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ
Ngắn hạn,Ngắn hạn,Ngắn hạn,2.752.429.454.212,2.752.429.454.212,1.486.235.997.537,1.486.235.997.537,2752429454212.0,2752429454212.0,1486235997537.0,1486235997537.0
Phải trả người bán ngắn hạn là bên thứ ba,Phải trả người bán ngắn hạn là bên thứ ba,Phải trả người bán ngắn hạn là bên thứ ba,657.968.021.785,657.968.021.785,658.650.112.261,658.650.112.261,657968021785.0,657968021785.0,658650112261.0,658650112261.0
Tổng Công ty Đông Bắc,Tổng Công ty Đông Bắc,Tổng Công ty Đông Bắc,214.295.390.181,214.295.390.181,225.112.184.877,225.112.184.877,214295390181.0,214295390181.0,225112184877.0,225112184877.0
Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,34.682.800.795,34.682.800.795,56.935.034.976,56.935.034.976,34682800795.0,34682800795.0,56935034976.0,56935034976.0
Công ty TNHH Công nghệ và dịch vụ kỹ thuật DTL,Công ty TNHH Công nghệ và dịch vụ kỹ thuật DTL,Công ty TNHH Công nghệ và dịch vụ kỹ thuật DTL,14.543.144.470,14.543.144.470,24.271.654.060,24.271.654.060,14543144470.0,14543144470.0,24271654060.0,24271654060.0
Công ty cổ phần Giải pháp kỹ thuật Công nghệ Việt,Công ty cổ phần Giải pháp kỹ thuật Công nghệ Việt,Công ty cổ phần Giải pháp kỹ thuật Công nghệ Việt,1.646.291.518,1.646.291.518,32.927.351.880,32.927.351.880,1646291518.0,1646291518.0,32927351880.0,32927351880.0
Công ty TNHH Thiết bị phụ tùng VIMICO,Công ty TNHH Thiết bị phụ tùng VIMICO,Công ty TNHH Thiết bị phụ tùng VIMICO,20.001.524.856,20.001.524.856,-,-,20001524856.0,20001524856.0,,
Công ty CP Lilama 69-1 Phả Lại,Công ty CP Lilama 69-1 Phả Lại,Công ty CP Lilama 69-1 Phả Lại,34.170.729.943,34.170.729.943,9.526.791.829,9.526.791.829,34170729943.0,34170729943.0,9526791829.0,9526791829.0
Công ty CP Vật tư và Thiết bị công nghiệp,Công ty CP Vật tư và Thiết bị công nghiệp,Công ty CP Vật tư và Thiết bị công nghiệp,23.118.628.822,23.118.628.822,26.851.733.700,26.851.733.700,23118628822.0,23118628822.0,26851733700.0,26851733700.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,315.509.511.200,315.509.511.200,283.025.360.939,283.025.360.939,315509511200.0,315509511200.0,283025360939.0,283025360939.0
Phải trả người bán ngắn hạn là bên liên quan(Chỉ tiết tại Thuyết minh số VII.4),Phải trả người bán ngắn hạn là bên liên quan(Chỉ tiết tại Thuyết minh số VII.4),Phải trả người bán ngắn hạn là bên liên quan(Chỉ tiết tại Thuyết minh số VII.4),2.094.461.432.427,2.094.461.432.427,827.585.885.276,827.585.885.276,2094461432427.0,2094461432427.0,827585885276.0,827585885276.0
Dài hạn,Dài hạn,Dài hạn,394.445.237.545,394.445.237.545,383.299.978.990,383.299.978.990,394445237545.0,394445237545.0,383299978990.0,383299978990.0
Phải trả người bán dài hạn là bên thứ ba,Phải trả người bán dài hạn là bên thứ ba,Phải trả người bán dài hạn là bên thứ ba,394.445.237.545,394.445.237.545,383.299.978.990,383.299.978.990,394445237545.0,394445237545.0,383299978990.0,383299978990.0
Nhà thầu SFECO,Nhà thầu SFECO,Nhà thầu SFECO,394.445.237.545,394.445.237.545,383.299.978.990,383.299.978.990,394445237545.0,394445237545.0,383299978990.0,383299978990.0
Phải trả người bán dài hạn là bên liên quan,Phải trả người bán dài hạn là bên liên quan,Phải trả người bán dài hạn là bên liên quan,-,-,-,-,,,,
Cộng,Phải trả người bán dài hạn là bên liên quan > Cộng,Cộng,3.146.874.691.757,3.146.874.691.757,1.869.535.976.527,1.869.535.976.527,3146874691757.0,3146874691757.0,1869535976527.0,1869535976527.0
