row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Chương trình phần mềm,TSCĐ VH khác,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Chương trình phần mềm,numeric__TSCĐ VH khác,numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,59.010.019.252,7.792.218.984,2.237.943.087,69.040.181.323,59010019252.0,7792218984.0,2237943087.0,69040181323.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,978.000.000,-,978.000.000,,978000000.0,,978000000.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,59.010.019.252,8.770.218.984,2.237.943.087,70.018.181.323,59010019252.0,8770218984.0,2237943087.0,70018181323.0
Hao mòn luỹ kế,Hao mòn luỹ kế,Hao mòn luỹ kế,Hao mòn luỹ kế,Hao mòn luỹ kế,Hao mòn luỹ kế,Hao mòn luỹ kế,,,,
Số đầu năm,Hao mòn luỹ kế > Số đầu năm,Số đầu năm,5.478.488.179,7.515.068.581,1.908.380.421,14.901.937.181,5478488179.0,7515068581.0,1908380421.0,14901937181.0
Khấu hao,Hao mòn luỹ kế > Khấu hao,Khấu hao,1.401.324.134,447.213.732,329.562.666,2.178.100.532,1401324134.0,447213732.0,329562666.0,2178100532.0
Số cuối năm,Hao mòn luỹ kế > Số cuối năm,Số cuối năm,6.879.812.313,7.962.282.313,2.237.943.087,17.080.037.713,6879812313.0,7962282313.0,2237943087.0,17080037713.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,53.531.531.073,277.150.403,329.562.666,54.138.244.142,53531531073.0,277150403.0,329562666.0,54138244142.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,52.130.206.939,807.936.671,-,52.938.143.610,52130206939.0,807936671.0,,52938143610.0
