row_label_raw,row_label_full,Họ tên bên liên quan,Các khoản thu nhập,Giá trị giao dịch > Số năm nay,Giá trị giao dịch > Số năm trước,numeric__Các khoản thu nhập,numeric__Giá trị giao dịch > Số năm nay,numeric__Giá trị giao dịch > Số năm trước
Đào Thị Hoàng Yến,Đào Thị Hoàng Yến,Đào Thị Hoàng Yến,Thù lao,541.911.745,60.155.000,,541911745.0,60155000.0
Bùi Thu Thái,Bùi Thu Thái,Bùi Thu Thái,Thù lao,523.501.071,64.000.000,,523501071.0,64000000.0
Nguyễn Thị Hà (*),Nguyễn Thị Hà (*),Nguyễn Thị Hà (*),"Lương, thưởng và các khoản phụ cấp",-,281.667.000,,,281667000.0
Lưu Thị Minh Thanh (**),Lưu Thị Minh Thanh (**),Lưu Thị Minh Thanh (**),"Lương, thưởng và các khoản phụ cấp",615.942.463,162.000.000,,615942463.0,162000000.0
Cộng,Cộng,Cộng,,7.874.826.310,5.004.551.333,,7874826310.0,5004551333.0
