row_label_raw,row_label_full,Bên liên quan,Nội dung giao dịch,Giá trị giao dịch > Số năm nay,Giá trị giao dịch > Số năm trước,numeric__Nội dung giao dịch,numeric__Giá trị giao dịch > Số năm nay,numeric__Giá trị giao dịch > Số năm trước
"Công ty CP Tín học, Công nghệ, Môi trường - Vinacomin","Công ty CP Tín học, Công nghệ, Môi trường - Vinacomin","Công ty CP Tín học, Công nghệ, Môi trường - Vinacomin",Mua dịch vụ,1.266.721.480,529.244.769,,1266721480.0,529244769.0
Công ty CP Xuất nhập khẩu Than - Vinacomin,Công ty CP Xuất nhập khẩu Than - Vinacomin,Công ty CP Xuất nhập khẩu Than - Vinacomin,"Mua thiết bị, dịch vụ",4.934.923.637,1.111.968.000,,4934923637.0,1111968000.0
Công ty CP Giám định - Vinacomin,Công ty CP Giám định - Vinacomin,Công ty CP Giám định - Vinacomin,Mua dịch vụ,177.998.364,187.405.394,,177998364.0,187405394.0
Tổng công ty Công nghiệp Hóa chất mỏ - Vinacomin,Tổng công ty Công nghiệp Hóa chất mỏ - Vinacomin,Tổng công ty Công nghiệp Hóa chất mỏ - Vinacomin,Mua hàng hóa,668.973.248,221.300.640,,668973248.0,221300640.0
Ban QLDA Chuyên ngành Mỏ than,Ban QLDA Chuyên ngành Mỏ than,Ban QLDA Chuyên ngành Mỏ than,Mua dịch vụ,-,21.165.000,,,21165000.0
Viện Khoa học Công nghệ mỏ -Vinacomin,Viện Khoa học Công nghệ mỏ -Vinacomin,Viện Khoa học Công nghệ mỏ -Vinacomin,"Mua vật tư, dịch vụ",444.397.959,1.089.665.067,,444397959.0,1089665067.0
Công ty CP chế tạo máy - Vinacomin,Công ty CP chế tạo máy - Vinacomin,Công ty CP chế tạo máy - Vinacomin,"Mua hàng hóa, dịch vụ",-,1.197.630.556,,,1197630556.0
Công ty Cổ phần Than Hà Lầm - Vinacomin,Công ty Cổ phần Than Hà Lầm - Vinacomin,Công ty Cổ phần Than Hà Lầm - Vinacomin,Mua dịch vụ,60.677.640,-,,60677640.0,
Công ty Cổ phần Du lịch và Thương mại - Vinacomin,Công ty Cổ phần Du lịch và Thương mại - Vinacomin,Công ty Cổ phần Du lịch và Thương mại - Vinacomin,Mua dịch vụ,7.467.712.579,5.339.682.304,,7467712579.0,5339682304.0
Công ty CP Than - Điện Nông Sơn - TKV,Công ty CP Than - Điện Nông Sơn - TKV,Công ty CP Than - Điện Nông Sơn - TKV,Bán than,175.284.475.549,169.211.881.472,,175284475549.0,169211881472.0
Công ty CP Than - Điện Nông Sơn - TKV,Công ty CP Than - Điện Nông Sơn - TKV,Công ty CP Than - Điện Nông Sơn - TKV,Mua than,169.609.550.481,168.101.319.405,,169609550481.0,168101319405.0
Công ty CP Than - Điện Nông Sơn - TKV,Công ty CP Than - Điện Nông Sơn - TKV,Công ty CP Than - Điện Nông Sơn - TKV,Lãi cho vay phát sinh,18.528.809.567,22.269.424.864,,18528809567.0,22269424864.0
Công ty CP Than - Điện Nông Sơn - TKV,Công ty CP Than - Điện Nông Sơn - TKV,Công ty CP Than - Điện Nông Sơn - TKV,Lãi trả chậm tiền than,-,2.866.532.827,,,2866532827.0
Cộng,Cộng,Cộng,,6.808.068.299.123,5.668.972.183.355,,6808068299123.0,5668972183355.0
