row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,6.827.674.750.000,(45.000.000),37.616.425.647,884.561.635.469,7.749.807.811.116,6827674750000.0,-45000000.0,37616425647.0,884561635469.0,7749807811116.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,-,-,-,-,-,,,,,
Lãi/lỗ trong năm trước,Tăng vốn trong năm trước > Lãi/lỗ trong năm trước,Lãi/lỗ trong năm trước,-,-,-,688.132.531.705,688.132.531.705,,,,688132531705.0,688132531705.0
Phân phối lợi nhuận,Tăng vốn trong năm trước > Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,(474.015.985.000),(474.015.985.000),,,,-474015985000.0,-474015985000.0
Tăng khác/ Giảm khác,Tăng vốn trong năm trước > Tăng khác/ Giảm khác,Tăng khác/ Giảm khác,-,-,33.794.000.000,-,33.794.000.000,,,33794000000.0,,33794000000.0
Số dư cuối năm trước,Tăng vốn trong năm trước > Số dư cuối năm trước,Số dư cuối năm trước,6.827.674.750.000,(45.000.000),71.410.425.647,1.098.678.182.174,7.997.718.357.821,6827674750000.0,-45000000.0,71410425647.0,1098678182174.0,7997718357821.0
Số dư đầu năm nay,Tăng vốn trong năm trước > Số dư đầu năm nay,Số dư đầu năm nay,6.827.674.750.000,(45.000.000),71.410.425.647,1.098.678.182.174,7.997.718.357.821,6827674750000.0,-45000000.0,71410425647.0,1098678182174.0,7997718357821.0
Tăng vốn trong năm nay,Tăng vốn trong năm nay,Tăng vốn trong năm nay,-,-,-,-,-,,,,,
Lãi/lỗ trong năm nay,Tăng vốn trong năm nay > Lãi/lỗ trong năm nay,Lãi/lỗ trong năm nay,-,-,-,547.949.613.729,547.949.613.729,,,,547949613729.0,547949613729.0
Phân phối lợi nhuận (*),Tăng vốn trong năm nay > Phân phối lợi nhuận (*),Phân phối lợi nhuận (*),-,-,232.878.298.996,(652.029.701.677),(419.151.402.681),,,232878298996.0,-652029701677.0,-419151402681.0
Số dư cuối năm nay,Tăng vốn trong năm nay > Số dư cuối năm nay,Số dư cuối năm nay,6.827.674.750.000,(45.000.000),304.288.724.643,994.598.094.226,8.126.516.568.869,6827674750000.0,-45000000.0,304288724643.0,994598094226.0,8126516568869.0
