row_label_raw,row_label_full,Bên cho vay và hợp đồng > Ngân hàng TMCP quốc tế Việt Nam (VIB) - Hợp đồng tín dụng số 5869632.23 ngày 29/03/2023. > Ngân hàng TMCP Ngoại thương Việt Nam - CN Hà Thành - Hợp đồng số 23/7871371-CTD/008 và hợp đồng cho vay theo hạn mức 23/7871371-CVHM/008 ngày 30/03/2023.,Thời hạn vay > 12 tháng > Tối đa 05 tháng,"Lãi suất > Thả nổi, lãi suất trong kỳ từ 3,3%-7,1%/năm > Thả nổi, lãi suất trong kỳ từ 2,5% - 7,2%/năm",Mục đích khoản vay > Bổ sung vốn lưu động phục vụ hoạt động sản xuất kinh doanh.,Tài sản đảm bảo > Cấp tín dụng không có đảm bảo bằng tài sản,Số dư cuối năm > 160.000.000.000 > 770.000.000.000,numeric__Thời hạn vay > 12 tháng > Tối đa 05 tháng,"numeric__Lãi suất > Thả nổi, lãi suất trong kỳ từ 3,3%-7,1%/năm > Thả nổi, lãi suất trong kỳ từ 2,5% - 7,2%/năm",numeric__Mục đích khoản vay > Bổ sung vốn lưu động phục vụ hoạt động sản xuất kinh doanh.,numeric__Tài sản đảm bảo > Cấp tín dụng không có đảm bảo bằng tài sản,numeric__Số dư cuối năm > 160.000.000.000 > 770.000.000.000
Cộng,Cộng,Cộng,,,,,1.550.000.000.000,,,,,1550000000000.0
[2] Vay ngân hàng dài hạn,[2] Vay ngân hàng dài hạn,[2] Vay ngân hàng dài hạn,[2] Vay ngân hàng dài hạn,[2] Vay ngân hàng dài hạn,[2] Vay ngân hàng dài hạn,[2] Vay ngân hàng dài hạn,[2] Vay ngân hàng dài hạn,,,,,
Bên cho vay và hợp đồng,Bên cho vay và hợp đồng,Bên cho vay và hợp đồng,Thời hạn vay,Lãi suất,Mục đích khoản vay,Tài sản đảm bảo,Số dư cuối năm,,,,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Hợp đồng tín dụng HĐ 01/2023/6365874/HĐTD ngày 11/04/2023; HĐ 02/2023/6365874/HĐTD ngày 1/6/2023.,Bên cho vay và hợp đồng > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Hợp đồng tín dụng HĐ 01/2023/6365874/HĐTD ngày 11/04/2023; HĐ 02/2023/6365874/HĐTD ngày 1/6/2023.,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Hợp đồng tín dụng HĐ 01/2023/6365874/HĐTD ngày 11/04/2023; HĐ 02/2023/6365874/HĐTD ngày 1/6/2023.,84 tháng,"Thả nổi, lãi suất trong kỳ từ 7,68% - 10%/năm","Thanh toán các chi phí thực hiện dự án đầu tư thay thế các bộ làm mát xỉ đáy lò hơi NMND Cẩm Phá, đầu tư thiết bị phục vụ sản xuất năm 2020 NMND Cẩm Phá - gói thầu số 4 đầu tư cụm van nước cấp lò hơi số 1, nâng cấp hệ thống DCS tổ máy S1 và phần chung - NMND Cẩm Phá; đầu tư nâng cấp hệ thống điều chỉnh tự động AGC tổ máy 1 và 2 - NMND Son Động.",Toàn bộ tài sản hình thành của dự án đầu tư theo hợp đồng thể chấp tài sản 01/2023/6365874/HĐBĐ ngày 11/04/2023; 02/2023/6365874/HĐBĐ ngày 01/06/2023.,45.118.836.412,,,,,45118836412.0
Ngân hàng TMCP Quốc tế Việt Nam - Trung tâm khách hàng doanh nghiệp lớn Sở Giao dịch - Hợp đồng số 221019/TDH/VIB-VPC.,Bên cho vay và hợp đồng > Ngân hàng TMCP Quốc tế Việt Nam - Trung tâm khách hàng doanh nghiệp lớn Sở Giao dịch - Hợp đồng số 221019/TDH/VIB-VPC.,Ngân hàng TMCP Quốc tế Việt Nam - Trung tâm khách hàng doanh nghiệp lớn Sở Giao dịch - Hợp đồng số 221019/TDH/VIB-VPC.,60 tháng,"Thả nổi, lãi suất trong kỳ từ 8,3% - 10,7%/năm",Đầu tư thiết bị 2019 - NMND Son Động.,Cấp tín dụng không có đảm bảo bằng tài sản.,2.052.000.000,,,,,2052000000.0
