row_label_raw,row_label_full,col_0,col_1,Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ_1,Phát sinh trong năm > Tăng,Phát sinh trong năm > Giảm,Số cuối năm > Giá trị đồng thời là số có khả năng trả nợ,numeric__col_1,numeric__Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,numeric__Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ_1,numeric__Phát sinh trong năm > Tăng,numeric__Phát sinh trong năm > Giảm,numeric__Số cuối năm > Giá trị đồng thời là số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,3.257.829.643.120,3.257.829.643.120,7.924.272.571.057,8.246.823.187.367,2.935.279.026.810,,3257829643120.0,3257829643120.0,7924272571057.0,8246823187367.0,2935279026810.0
Vay ngân hàng ngắn hạn,Vay ngân hàng ngắn hạn,Vay ngân hàng ngắn hạn,[1],1.426.354.997.472,1.426.354.997.472,6.538.993.544.684,6.415.348.542.156,1.550.000.000.000,,1426354997472.0,1426354997472.0,6538993544684.0,6415348542156.0,1550000000000.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,,1.831.474.645.648,1.831.474.645.648,1.385.279.026.373,1.831.474.645.211,1.385.279.026.810,,1831474645648.0,1831474645648.0,1385279026373.0,1831474645211.0,1385279026810.0
Vay ngân hàng đến hạn trả,Vay ngân hàng đến hạn trả,Vay ngân hàng đến hạn trả,[2],965.997.617.446,965.997.617.446,850.381.477.544,965.997.617.446,850.381.477.544,,965997617446.0,965997617446.0,850381477544.0,965997617446.0,850381477544.0
Vay các bên liên quan đến hạn trả,Vay các bên liên quan đến hạn trả,Vay các bên liên quan đến hạn trả,[3],795.477.028.202,795.477.028.202,464.897.548.829,795.477.027.765,464.897.549.266,,795477028202.0,795477028202.0,464897548829.0,795477027765.0,464897549266.0
Trái phiếu,Trái phiếu,Trái phiếu,[4],70.000.000.000,70.000.000.000,70.000.000.000,70.000.000.000,70.000.000.000,,70000000000.0,70000000000.0,70000000000.0,70000000000.0,70000000000.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,,2.848.469.498.754,2.848.469.498.754,122.513.002.275,1.388.878.136.250,1.582.104.364.779,,2848469498754.0,2848469498754.0,122513002275.0,1388878136250.0,1582104364779.0
Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,[2],1.826.527.795.802,1.826.527.795.802,97.304.836.412,853.980.587.435,1.069.852.044.779,,1826527795802.0,1826527795802.0,97304836412.0,853980587435.0,1069852044779.0
Vay các bên liên quan,Vay các bên liên quan,Vay các bên liên quan,[3],866.941.702.952,866.941.702.952,25.208.165.863,464.897.548.815,427.252.320.000,,866941702952.0,866941702952.0,25208165863.0,464897548815.0,427252320000.0
Trái phiếu,Trái phiếu,Trái phiếu,[4],155.000.000.000,155.000.000.000,-,70.000.000.000,85.000.000.000,,155000000000.0,155000000000.0,,70000000000.0,85000000000.0
Cộng,Cộng,Cộng,,6.106.299.141.874,6.106.299.141.874,8.046.785.573.332,9.635.701.323.617,4.517.383.391.589,,6106299141874.0,6106299141874.0,8046785573332.0,9635701323617.0,4517383391589.0
[1] Vay ngân hàng ngắn hạnBên cho vay và hợp đồng,[1] Vay ngân hàng ngắn hạnBên cho vay và hợp đồng,[1] Vay ngân hàng ngắn hạnBên cho vay và hợp đồng,Thời hạn vay,Lãi suất,Lãi suất,Mục đích khoản vay,Tài sản đảm bảo,Số dư cuối năm,,,,,,
Ngân hàng Bank of China (Hong Kong)Limited - Chi nhánh TP. Hồ Chí MinhHợp đồng tổng hạn mức tín dụng sốV350/ST/DLTKV/2023 ngày 12/12/2023.,[1] Vay ngân hàng ngắn hạnBên cho vay và hợp đồng > Ngân hàng Bank of China (Hong Kong)Limited - Chi nhánh TP. Hồ Chí MinhHợp đồng tổng hạn mức tín dụng sốV350/ST/DLTKV/2023 ngày 12/12/2023.,Ngân hàng Bank of China (Hong Kong)Limited - Chi nhánh TP. Hồ Chí MinhHợp đồng tổng hạn mức tín dụng sốV350/ST/DLTKV/2023 ngày 12/12/2023.,04 tháng,"Thả nổi, lãi suất trong kỳ2,5%/năm","Thả nổi, lãi suất trong kỳ2,5%/năm",Bổ sung vốn lưu động phục vụ hoạt động sản xuất kinh doanh.,Cấp tín dụng không có đảm bảo bằng tài sản,140.000.000.000,,,,,,140000000000.0
Ngân hàng TMCP Đầu tư và Phát triểnViệt Nam - Hợp đồng tín dụng hạn mức số03/2023/6365874/HĐTD ngày 01/06/2023.,[1] Vay ngân hàng ngắn hạnBên cho vay và hợp đồng > Ngân hàng TMCP Đầu tư và Phát triểnViệt Nam - Hợp đồng tín dụng hạn mức số03/2023/6365874/HĐTD ngày 01/06/2023.,Ngân hàng TMCP Đầu tư và Phát triểnViệt Nam - Hợp đồng tín dụng hạn mức số03/2023/6365874/HĐTD ngày 01/06/2023.,05 tháng,"Thả nổi, lãi suất trong kỳ từ2,5%-10%/năm","Thả nổi, lãi suất trong kỳ từ2,5%-10%/năm",Bổ sung vốn lưu động phục vụ hoạt động sản xuất kinh doanh.,Cấp tín dụng không có đảm bảo bằng tài sản,220.000.000.000,,,,,,220000000000.0
Ngân hàng TMCP Quân đội - CN Ba Đình- Hợp đồng tín dụng hạn mức số03/2023/6365874/HĐTD ngày 01/06/2023.,[1] Vay ngân hàng ngắn hạnBên cho vay và hợp đồng > Ngân hàng TMCP Quân đội - CN Ba Đình- Hợp đồng tín dụng hạn mức số03/2023/6365874/HĐTD ngày 01/06/2023.,Ngân hàng TMCP Quân đội - CN Ba Đình- Hợp đồng tín dụng hạn mức số03/2023/6365874/HĐTD ngày 01/06/2023.,Tối đa 06 tháng,"Thả nổi, lãi suất trong kỳ từ3,5%-8,03%/năm","Thả nổi, lãi suất trong kỳ từ3,5%-8,03%/năm",Bổ sung vốn lưu động phục vụ hoạt động sản xuất kinh doanh.,Cấp tín dụng không có đảm bảo bằng tài sản,260.000.000.000,,,,,,260000000000.0
