row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,42.773.553.679,60.662.738.216,42773553679.0,60662738216.0
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",200.000.000,-,200000000.0,
Tạm ứng,Tạm ứng,Tạm ứng,4.865.608.511,3.240.543.668,4865608511.0,3240543668.0
Phải thu về lãi cho vay,Phải thu về lãi cho vay,Phải thu về lãi cho vay,14.694.504.026,5.741.619.594,14694504026.0,5741619594.0
Phải thu về cổ tức và lợi nhuận được chia,Phải thu về cổ tức và lợi nhuận được chia,Phải thu về cổ tức và lợi nhuận được chia,-,29.101.446.223,,29101446223.0
Dự thu lãi tiền gửi,Dự thu lãi tiền gửi,Dự thu lãi tiền gửi,3.814.367.123,2.936.780.181,3814367123.0,2936780181.0
Thuế GTGT tiền điện bán ra,Thuế GTGT tiền điện bán ra,Thuế GTGT tiền điện bán ra,7.393.485.580,11.032.174.331,7393485580.0,11032174331.0
Các khoản khác,Các khoản khác,Các khoản khác,11.805.588.439,8.610.174.219,11805588439.0,8610174219.0
Dài hạn,Dài hạn,Dài hạn,100.000.000,300.000.000,100000000.0,300000000.0
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",100.000.000,300.000.000,100000000.0,300000000.0
Cộng,Cộng,Cộng,42.873.553.679,60.962.738.216,42873553679.0,60962738216.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
,,,Số cuối năm,Số đầu năm,,
Phải thu khác ngắn hạn là bên liên quan,Trong đó: > Phải thu khác ngắn hạn là bên liên quan,Phải thu khác ngắn hạn là bên liên quan,17.561.036.853,8.608.152.421,17561036853.0,8608152421.0
Phải thu khác dài hạn là bên liên quan,Phải thu khác dài hạn là bên liên quan,Phải thu khác dài hạn là bên liên quan,-,-,,
Cộng,Phải thu khác dài hạn là bên liên quan > Cộng,Cộng,17.561.036.853,8.608.152.421,17561036853.0,8608152421.0
