row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Số năm nay,Số năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số năm nay,numeric__Số năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,VI.1,11.714.499.801.011,10.543.303.873.052,,1.0,,11714499801011.0,10543303873052.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,,-,-,,2.0,,,
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,11.714.499.801.011,10.543.303.873.052,,10.0,,11714499801011.0,10543303873052.0
4.,4.,4.,Giá vốn hàng bán,11,VI.2,10.537.477.335.002,9.359.485.201.848,,11.0,,10537477335002.0,9359485201848.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,1.177.022.466.009,1.183.818.671.204,,20.0,,1177022466009.0,1183818671204.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,VI.3,228.007.965.033,343.714.233.998,,21.0,,228007965033.0,343714233998.0
7.,7.,7.,Chi phí tài chính,22,VI.4,435.464.157.514,479.668.065.528,,22.0,,435464157514.0,479668065528.0
7.,7.,7.,Trong đó: chi phí lãi vay,23,,335.624.414.354,327.934.666.828,,23.0,,335624414354.0,327934666828.0
8.,8.,8.,Chi phí bán hàng,25,,-,-,,25.0,,,
9.,9.,9.,Chi phí quản lý doanh nghiệp,26,VI.5,349.240.051.579,290.017.691.723,,26.0,,349240051579.0,290017691723.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh,30,,620.326.221.949,757.847.147.951,,30.0,,620326221949.0,757847147951.0
11.,11.,11.,Thu nhập khác,31,,4.823.211.389,2.409.270.031,,31.0,,4823211389.0,2409270031.0
12.,12.,12.,Chi phí khác,32,,2.055.341.399,3.993.449.712,,32.0,,2055341399.0,3993449712.0
13.,13.,13.,Lợi nhuận khác,40,,2.767.869.990,(1.584.179.681),,40.0,,2767869990.0,-1584179681.0
14.,14.,14.,Tổng lợi nhuận kế toán trước thuế,50,,623.094.091.939,756.262.968.270,,50.0,,623094091939.0,756262968270.0
15.,15.,15.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,VI.7,75.144.478.210,68.130.436.565,,51.0,,75144478210.0,68130436565.0
16.,16.,16.,Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,,-,-,,52.0,,,
17.,17.,17.,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,547.949.613.729,688.132.531.705,,60.0,,547949613729.0,688132531705.0
