row_label_raw,row_label_full,Bên liên quan > Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,Nội dung giao dịch > Phí chuyển quyền sử dụng nhân hiệu TKV > Nhận nợ Thuế nhà thầu > Lãi chậm trả tiền than > Chi phí di vay,Giá trị giao dịch > Số năm nay > 30.903.299.597 > 2.357.028.936 > 292.772.806 > 61.227.441.624,Giá trị giao dịch > Số năm trước > 24.778.235.334 > 1.832.994.484 > 3.489.172.506 > 76.906.332.995,numeric__Nội dung giao dịch > Phí chuyển quyền sử dụng nhân hiệu TKV > Nhận nợ Thuế nhà thầu > Lãi chậm trả tiền than > Chi phí di vay,numeric__Giá trị giao dịch > Số năm nay > 30.903.299.597 > 2.357.028.936 > 292.772.806 > 61.227.441.624,numeric__Giá trị giao dịch > Số năm trước > 24.778.235.334 > 1.832.994.484 > 3.489.172.506 > 76.906.332.995
Công ty Kho vận và Cảng Cẩm Phả - Vinacomin,Công ty Kho vận và Cảng Cẩm Phả - Vinacomin,Công ty Kho vận và Cảng Cẩm Phả - Vinacomin,Bán than,169.609.550.481,168.101.319.405,,169609550481.0,168101319405.0
Công ty Kho vận và Cảng Cẩm Phả - Vinacomin,Công ty Kho vận và Cảng Cẩm Phả - Vinacomin,Công ty Kho vận và Cảng Cẩm Phả - Vinacomin,Mua than,6.071.319.956.080,4.851.944.565.092,,6071319956080.0,4851944565092.0
Tổng công ty Công nghiệp Mỏ Việt Bắc TKV - CTCP,Tổng công ty Công nghiệp Mỏ Việt Bắc TKV - CTCP,Tổng công ty Công nghiệp Mỏ Việt Bắc TKV - CTCP,Bán điện,1.782.546.887,2.150.374.801,,1782546887.0,2150374801.0
Tổng công ty Công nghiệp Mỏ Việt Bắc TKV - CTCP,Tổng công ty Công nghiệp Mỏ Việt Bắc TKV - CTCP,Tổng công ty Công nghiệp Mỏ Việt Bắc TKV - CTCP,Mua hàng hóa dịch vụ,21.113.051.908,29.444.967.763,,21113051908.0,29444967763.0
Công ty Cổ phần cơ khí Hòn Gai - Vinacomin,Công ty Cổ phần cơ khí Hòn Gai - Vinacomin,Công ty Cổ phần cơ khí Hòn Gai - Vinacomin,Bán phế liệu,1.105.500.437,3.908.104.473,,1105500437.0,3908104473.0
Tổng Công ty Khoáng sản TKV - CTCP,Tổng Công ty Khoáng sản TKV - CTCP,Tổng Công ty Khoáng sản TKV - CTCP,Bán phế liệu,1.597.321.500,-,,1597321500.0,
Viện Cơ khí Năng lượng và mỏ - Vinacomin,Viện Cơ khí Năng lượng và mỏ - Vinacomin,Viện Cơ khí Năng lượng và mỏ - Vinacomin,"Mua vật tư, dịch vụ",5.299.083.466,14.409.018.466,,5299083466.0,14409018466.0
Công ty CP Vật tư - TKV,Công ty CP Vật tư - TKV,Công ty CP Vật tư - TKV,"Mua hàng hóa, dịch vụ",58.036.023.647,110.613.320.638,,58036023647.0,110613320638.0
Công ty CP Vật tư - TKV,Công ty CP Vật tư - TKV,Công ty CP Vật tư - TKV,Bán điện,891.096,1.357.464,,891096.0,1357464.0
Bệnh viện Than - Khoáng sản,Bệnh viện Than - Khoáng sản,Bệnh viện Than - Khoáng sản,Mua dịch vụ,1.197.808.363,1.965.385.570,,1197808363.0,1965385570.0
Trường Cao đẳng Than - Khoáng sản Việt Nam,Trường Cao đẳng Than - Khoáng sản Việt Nam,Trường Cao đẳng Than - Khoáng sản Việt Nam,Mua dịch vụ,838.527.000,556.578.000,,838527000.0,556578000.0
Công ty CP Công nghiệp Ô tô - Vinacomin,Công ty CP Công nghiệp Ô tô - Vinacomin,Công ty CP Công nghiệp Ô tô - Vinacomin,"Mua vật tư, thiết bị, dịch vụ",304.340.113,4.914.598.666,,304340113.0,4914598666.0
Trường Quản trị kinh doanh - Vinacomin,Trường Quản trị kinh doanh - Vinacomin,Trường Quản trị kinh doanh - Vinacomin,Mua dịch vụ,1.265.937.888,529.058.500,,1265937888.0,529058500.0
Công ty TNHH MTV Môi trường - TKV,Công ty TNHH MTV Môi trường - TKV,Công ty TNHH MTV Môi trường - TKV,Bán phế liệu,453.788.960,280.049.620,,453788960.0,280049620.0
Công ty TNHH MTV Môi trường - TKV,Công ty TNHH MTV Môi trường - TKV,Công ty TNHH MTV Môi trường - TKV,Mua dịch vụ,919.187.830,999.529.280,,919187830.0,999529280.0
