row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số bù trừ với nghĩa vụ nộp thuế,Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số bù trừ với nghĩa vụ nộp thuế,numeric__Số cuối năm
Thuế GTGT,Thuế GTGT,Thuế GTGT,-,-,11.671.198.227,11.671.198.227,,,11671198227.0,11671198227.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,-,12.222.207.614,12.222.207.614,,,12222207614.0,12222207614.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.021.376.614,306.766.662,175.827.866,890.437.818,1021376614.0,306766662.0,175827866.0,890437818.0
Thuế đất và tiền thuê đất,Thuế đất và tiền thuê đất,Thuế đất và tiền thuê đất,1.132.109.046,171.831.230,486.823.380,1.447.101.196,1132109046.0,171831230.0,486823380.0,1447101196.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,-,815.755.367,815.755.367,,,815755367.0,815755367.0
Cộng,Cộng,Cộng,2.153.485.660,478.597.892,25.371.812.454,27.046.700.222,2153485660.0,478597892.0,25371812454.0,27046700222.0
