row_label_raw,row_label_full,Công ty,Mối quan hệ,numeric__Mối quan hệ
Công ty Cổ phần Chứng khoán VIX,Công ty Cổ phần Chứng khoán VIX,Công ty Cổ phần Chứng khoán VIX,Bên liên quan của thành viên HĐQT,
Công ty Cổ phần K.I.P Việt Nam,Công ty Cổ phần K.I.P Việt Nam,Công ty Cổ phần K.I.P Việt Nam,Bên liên quan của thành viên HĐQT,
Công ty Cổ phần Đầu tư Khu công nghiệp Dầu khí Long Sơn,Công ty Cổ phần Đầu tư Khu công nghiệp Dầu khí Long Sơn,Công ty Cổ phần Đầu tư Khu công nghiệp Dầu khí Long Sơn,Công ty liên kết,
Công ty Cổ phần Vinafacade,Công ty Cổ phần Vinafacade,Công ty Cổ phần Vinafacade,Công ty liên kết,
Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty liên kết,
Công ty Cổ phần Magno GMHB,Công ty Cổ phần Magno GMHB,Công ty Cổ phần Magno GMHB,Công ty liên kết,
Công ty Cổ phần Vật liệu chịu lửa Viglacera Cầu Đường,Công ty Cổ phần Vật liệu chịu lửa Viglacera Cầu Đường,Công ty Cổ phần Vật liệu chịu lửa Viglacera Cầu Đường,Công ty liên kết,
Công ty Cổ phần Vigalcera Đông Triều,Công ty Cổ phần Vigalcera Đông Triều,Công ty Cổ phần Vigalcera Đông Triều,Công ty liên kết,
Công ty Cổ phần Gốm xây dựng Yên Hưng,Công ty Cổ phần Gốm xây dựng Yên Hưng,Công ty Cổ phần Gốm xây dựng Yên Hưng,Công ty liên kết,
Công ty Cổ phần Viglacera Hạ Long II,Công ty Cổ phần Viglacera Hạ Long II,Công ty Cổ phần Viglacera Hạ Long II,Công ty liên kết,
Công ty Cổ phần Viglacera Từ Sơn,Công ty Cổ phần Viglacera Từ Sơn,Công ty Cổ phần Viglacera Từ Sơn,Công ty liên kết,
Công ty SảnVig - CTCP,Công ty SảnVig - CTCP,Công ty SảnVig - CTCP,Công ty liên kết,
Công ty TNHH Kính nối Việt Nam (VFG),Công ty TNHH Kính nối Việt Nam (VFG),Công ty TNHH Kính nối Việt Nam (VFG),Công ty liên kết,
Công ty TNHH S.A.S. - CTAMAD,Công ty TNHH S.A.S. - CTAMAD,Công ty TNHH S.A.S. - CTAMAD,Công ty liên kết,
Tổng Công ty Thiết bị điện Đông Anh - CTCP,Tổng Công ty Thiết bị điện Đông Anh - CTCP,Tổng Công ty Thiết bị điện Đông Anh - CTCP,Công ty liên kết,
Công ty Cổ phần Đầu tư EPT,Công ty Cổ phần Đầu tư EPT,Công ty Cổ phần Đầu tư EPT,Bên liên quan của Chủ tịch HĐQT,
