row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND > Số đầu năm(Phân loại lại),numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND > Số đầu năm(Phân loại lại)
C.,C.,C.,Nợ PHẢI TRẢ,300,,31.341.456.664.406,40.691.545.386.910,,300.0,,31341456664406.0,40691545386910.0
I.,I.,I.,Nợ ngắn hạn,310,,17.276.008.893.499,22.713.325.551.978,,310.0,,17276008893499.0,22713325551978.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,18,3.315.649.076.267,3.691.097.790.104,,311.0,18.0,3315649076267.0,3691097790104.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,19,2.628.873.658.245,3.744.537.612.346,,312.0,19.0,2628873658245.0,3744537612346.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,20,318.094.773.688,354.367.178.781,,313.0,20.0,318094773688.0,354367178781.0
4.,4.,4.,Phải trả người lao động,314,,473.615.203.777,430.668.551.294,,314.0,,473615203777.0,430668551294.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,21,1.157.644.201.366,1.037.052.832.114,,315.0,21.0,1157644201366.0,1037052832114.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,22,47.773.828.643,78.990.532.415,,318.0,22.0,47773828643.0,78990532415.0
7.,7.,7.,Phải trả ngắn hạn khác,319,23,1.809.439.135.173,4.642.923.059.368,,319.0,23.0,1809439135173.0,4642923059368.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,24,7.195.915.446.358,8.372.410.191.024,,320.0,24.0,7195915446358.0,8372410191024.0
9.,9.,9.,Dự phòng phải trả ngắn hạn,321,25,107.202.639.684,144.693.403.541,,321.0,25.0,107202639684.0,144693403541.0
10.,10.,10.,"Quỹ khen thưởng, phúc lợi",322,,221.800.930.298,216.584.400.991,,322.0,,221800930298.0,216584400991.0
II.,II.,II.,Nợ dài hạn,330,,14.065.447.770.907,17.978.219.834.932,,330.0,,14065447770907.0,17978219834932.0
1.,1.,1.,Phải trả người bán dài hạn,331,19,9.259.078.400,9.259.078.400,,331.0,19.0,9259078400.0,9259078400.0
2.,2.,2.,Chi phí phải trả dài hạn,333,21,188.387.114.899,152.320.123.747,,333.0,21.0,188387114899.0,152320123747.0
3.,3.,3.,Doanh thu chưa thực hiện dài hạn,336,22,2.757.226.116.656,2.779.993.720.672,,336.0,22.0,2757226116656.0,2779993720672.0
4.,4.,4.,Phải trả dài hạn khác,337,23,66.217.179.636,63.069.650.794,,337.0,23.0,66217179636.0,63069650794.0
5.,5.,5.,Vay và nợ thuê tài chính dài hạn,338,24,9.645.872.389.487,13.749.732.448.822,,338.0,24.0,9645872389487.0,13749732448822.0
6.,6.,6.,Thuế thu nhập hoãn lại phải trả,341,26,594.422.223.656,587.323.132.250,,341.0,26.0,594422223656.0,587323132250.0
7.,7.,7.,Dự phòng phải trả dài hạn,342,25,481.816.149.238,416.661.615.540,,342.0,25.0,481816149238.0,416661615540.0
8.,8.,8.,Quỹ phát triển khoa học và công nghệ,343,,322.247.518.935,219.860.064.707,,343.0,,322247518935.0,219860064707.0
