row_label_raw,row_label_full,col_0,Sản xuất và kinh doanh thiết bị điện,Sản xuất và kinh doanh năng lượng,"Bán và cho thuê bất động sản, họ tầng khu công nghiệp",Sản xuất và kinh doanh vật liệu xây dựng,Khác,Tổng cộng,numeric__Sản xuất và kinh doanh thiết bị điện,numeric__Sản xuất và kinh doanh năng lượng,"numeric__Bán và cho thuê bất động sản, họ tầng khu công nghiệp",numeric__Sản xuất và kinh doanh vật liệu xây dựng,numeric__Khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,15.852.822.981.691,1.545.763.706.017,4.852.827.204.614,9.590.793.012.222,246.545.617.440,32.088.752.521.984,15852822981691.0,1545763706017.0,4852827204614.0,9590793012222.0,246545617440.0,32088752521984.0
Kết quả,Kết quả,Kết quả,,,,,,,,,,,,
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Kết quả > Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,1.796.891.112.872,701.746.510.473,1.761.235.421.618,2.162.841.995.822,35.305.167.785,6.458.020.208.570,1796891112872.0,701746510473.0,1761235421618.0,2162841995822.0,35305167785.0,6458020208570.0
(Chi phí) không phân bổ,Kết quả > (Chi phí) không phân bổ,(Chi phí) không phân bổ,,,,,,(4.377.467.496.640),,,,,,-4377467496640.0
Lợi nhuận thuần trước thuế,Kết quả > Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,,,,,,2.080.552.711.930,,,,,,2080552711930.0
Chi phí thuế thu nhập doanh nghiệp,Kết quả > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,,548.795.910.832,,,,,,548795910832.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,,1.531.756.801.098,,,,,,1531756801098.0
