row_label_raw,row_label_full,col_0,Số đầu năm,Góp thêm vốn,"Lãi/(lỗ) từ kết quả kinh doanh của công ty liên doanh, liên kết",Cổ tức được chia trong năm,Phân phối quỹ,Chênh lệch tỷ giá hối đoái do chuyển đổi báo cáo bằng ngoại tệ,Số cuối năm,numeric__Số đầu năm,numeric__Góp thêm vốn,"numeric__Lãi/(lỗ) từ kết quả kinh doanh của công ty liên doanh, liên kết",numeric__Cổ tức được chia trong năm,numeric__Phân phối quỹ,numeric__Chênh lệch tỷ giá hối đoái do chuyển đổi báo cáo bằng ngoại tệ,numeric__Số cuối năm
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Công ty TNHH S.A.S - CTAMAD,Công ty TNHH S.A.S - CTAMAD,Công ty TNHH S.A.S - CTAMAD,276.844.180.214,-,30.700.167.020,(44.027.224.600),(336.962.608),-,263.180.160.026,276844180214.0,,30700167020.0,-44027224600.0,-336962608.0,,263180160026.0
Tổng Công ty Thiết bị diện Đông Anh - CTCP,Tổng Công ty Thiết bị diện Đông Anh - CTCP,Tổng Công ty Thiết bị diện Đông Anh - CTCP,536.889.004.686,-,10.375.622.892,(24.264.411.000),(2.676.040.270),-,520.324.176.308,536889004686.0,,10375622892.0,-24264411000.0,-2676040270.0,,520324176308.0
Công ty Cổ phần Đầu tư Khu công nghiệp Dầu khí Long Sơn,Công ty Cổ phần Đầu tư Khu công nghiệp Dầu khí Long Sơn,Công ty Cổ phần Đầu tư Khu công nghiệp Dầu khí Long Sơn,218.275.318.381,-,1.296.686.844,-,-,-,219.572.005.225,218275318381.0,,1296686844.0,,,,219572005225.0
Công ty TNHH Kính nổi Việt Nam,Công ty TNHH Kính nổi Việt Nam,Công ty TNHH Kính nổi Việt Nam,374.929.448.122,-,119.799.325.603,(44.742.361.262),-,-,449.986.412.463,374929448122.0,,119799325603.0,-44742361262.0,,,449986412463.0
Công ty SanVig - CTCP,Công ty SanVig - CTCP,Công ty SanVig - CTCP,137.261.323.112,-,458.519.302,-,-,(3.364.026.401),134.355.816.013,137261323112.0,,458519302.0,,,-3364026401.0,134355816013.0
Công ty Cổ phần Viglacera Đông Triều,Công ty Cổ phần Viglacera Đông Triều,Công ty Cổ phần Viglacera Đông Triều,65.201.972.839,-,(3.317.778.564),(1.200.000.000),-,-,60.684.194.275,65201972839.0,,-3317778564.0,-1200000000.0,,,60684194275.0
Công ty Cổ phần Viglacera Hạ long II,Công ty Cổ phần Viglacera Hạ long II,Công ty Cổ phần Viglacera Hạ long II,23.145.345.410,-,(3.440.242.347),(1.100.000.000),-,-,18.605.103.063,23145345410.0,,-3440242347.0,-1100000000.0,,,18605103063.0
Công ty Cổ phần Gạch ngói Viglacera Từ Sơn,Công ty Cổ phần Gạch ngói Viglacera Từ Sơn,Công ty Cổ phần Gạch ngói Viglacera Từ Sơn,8.253.749.864,-,(1.820.539.896),-,-,-,6.433.209.968,8253749864.0,,-1820539896.0,,,,6433209968.0
Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,6.957.524.269,2.500.000.000,567.904.551,(350.000.000),-,-,9.675.428.820,6957524269.0,2500000000.0,567904551.0,-350000000.0,,,9675428820.0
Công ty Cổ phần Gạch chịu lửa Cầu Dương,Công ty Cổ phần Gạch chịu lửa Cầu Dương,Công ty Cổ phần Gạch chịu lửa Cầu Dương,1.808.703.356,-,126.932.012,-,-,-,1.935.635.368,1808703356.0,,126932012.0,,,,1935635368.0
Công ty Cổ phần Vinafacade,Công ty Cổ phần Vinafacade,Công ty Cổ phần Vinafacade,909.380.000,-,-,-,-,-,909.380.000,909380000.0,,,,,,909380000.0
Công ty Cổ phần Magno GMHB,Công ty Cổ phần Magno GMHB,Công ty Cổ phần Magno GMHB,226.185.000,-,-,-,-,-,226.185.000,226185000.0,,,,,,226185000.0
,,,1.650.702.135.253,2.500.000.000,154.746.597.417,(115.683.996.862),(3.013.002.878),(3.364.026.401),1.685.887.706.529,1650702135253.0,2500000000.0,154746597417.0,-115683996862.0,-3013002878.0,-3364026401.0,1685887706529.0
