row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Tài sản khác,Tổng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Tài sản khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,9.150.807.439.216,15.410.765.787.081,596.547.880.438,64.029.645.034,183.269.044.742,25.405.419.796.511,9150807439216.0,15410765787081.0,596547880438.0,64029645034.0,183269044742.0,25405419796511.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,801.065.595.822,474.358.387.904,19.549.097.750,5.709.038.412,3.016.552.361,1.303.698.672.249,801065595822.0,474358387904.0,19549097750.0,5709038412.0,3016552361.0,1303698672249.0
Điều chỉnh giá trị quyết toán xây dựng cơ bản,NGUYÊN GIÁ > Điều chỉnh giá trị quyết toán xây dựng cơ bản,Điều chỉnh giá trị quyết toán xây dựng cơ bản,(3.553.897.616),(42.061.452.442),(16.945.087.755),-,-,(62.560.437.813),-3553897616.0,-42061452442.0,-16945087755.0,,,-62560437813.0
Mua lại tài sản cố định thuê tài chính,NGUYÊN GIÁ > Mua lại tài sản cố định thuê tài chính,Mua lại tài sản cố định thuê tài chính,-,87.802.487.548,13.326.301.454,-,-,101.128.789.002,,87802487548.0,13326301454.0,,,101128789002.0
Bán tài sản (tái thuê tài chính như trình bày tại Thuyết minh số 12),NGUYÊN GIÁ > Bán tài sản (tái thuê tài chính như trình bày tại Thuyết minh số 12),Bán tài sản (tái thuê tài chính như trình bày tại Thuyết minh số 12),-,(70.708.270.262),(2.224.076.098),-,-,(72.932.346.360),,-70708270262.0,-2224076098.0,,,-72932346360.0
Phân loại lại bắt động sản đầu tư,NGUYÊN GIÁ > Phân loại lại bắt động sản đầu tư,Phân loại lại bắt động sản đầu tư,(70.095.564.841),498.628.705,-,2.162.231.547,-,(67.434.704.589),-70095564841.0,498628705.0,,2162231547.0,,-67434704589.0
"Thanh lý, nhượng bán, phá dỡ","NGUYÊN GIÁ > Thanh lý, nhượng bán, phá dỡ","Thanh lý, nhượng bán, phá dỡ",(208.049.162.541),(112.873.836.794),(20.873.885.564),(1.596.932.254),-,(343.393.817.153),-208049162541.0,-112873836794.0,-20873885564.0,-1596932254.0,,-343393817153.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,169.304.867.240,(236.032.662.331),73.248.701.546,2.345.312.305,-,8.866.218.760,169304867240.0,-236032662331.0,73248701546.0,2345312305.0,,8866218760.0
"Tăng, giảm khác","NGUYÊN GIÁ > Tăng, giảm khác","Tăng, giảm khác",(1.592.300.331),1.255.795.759,488.420.299,-,1.089.312,153.005.039,-1592300331.0,1255795759.0,488420299.0,,1089312.0,153005039.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,9.837.886.976.949,15.513.004.865.168,663.117.352.070,72.649.295.044,186.286.686.415,26.272.945.175.646,9837886976949.0,15513004865168.0,663117352070.0,72649295044.0,186286686415.0,26272945175646.0
