row_label_raw,row_label_full,STT,"Tên công ty liên doanh,liên kết",Nơi thành lậpvà hoạt động,Tỷ lệ phànsở hữu(%),Tỷ lệ quyềnbiểu quyết(%),Hoạt động chính,"numeric__Tên công ty liên doanh,liên kết",numeric__Nơi thành lậpvà hoạt động,numeric__Tỷ lệ phànsở hữu(%),numeric__Tỷ lệ quyềnbiểu quyết(%),numeric__Hoạt động chính
,,,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,,,,,
1.,1.,1.,Công ty TNHH Kính nõiViệt Nam,Bắc Ninh,"30,00%","30,00%",Sản xuất và kinh doanh kính,,,0.3,0.3,
2.,2.,2.,Công ty SanVig - CTCP,Cuba,"21,43%","50,00%","Sản xuất và kinh doanh sựvệ sinh, gạch ốp lát",,,0.2143,0.5,
,,,Công ty liên kết trực tiếp,Công ty liên kết trực tiếp,Công ty liên kết trực tiếp,Công ty liên kết trực tiếp,Công ty liên kết trực tiếp,,,,,
3.,3.,3.,Công ty Cổ phần Gạchngói Từ Sơn,Bắc Ninh,"24,93%","24,93%",Sản xuất và kinh doanhgạch ngói đất sét nung,,,0.2493,0.2493,
4.,4.,4.,Công ty Cổ phần Gốm Xâydựng Yên Hưng,Quảng Ninh,"26,00%","26,00%",Sản xuất và kinh doanhgạch ngói đất sét nung,,,0.26,0.26,
5.,5.,5.,Công ty Cổ phần Đầu tư vàXuất nhập khẩu Viglacera,Hà Nội,"25,00%","25,00%",Kinh doanh xuất nhập khẩu,,,0.25,0.25,
6.,6.,6.,Công ty Cổ phần Gạch chịulửa Cầu Đường,Hà Nội,"25,00%","25,00%",Sản xuất và kinh doanhgạch chịu lửa,,,0.25,0.25,
,,,Công ty liên kết gián tiếp,Công ty liên kết gián tiếp,Công ty liên kết gián tiếp,Công ty liên kết gián tiếp,Công ty liên kết gián tiếp,,,,,
7.,7.,7.,Công ty Magno GMBH,Cộng hòa Liênbang Đức,"22,87%","30,00%",Thương mại,,,0.22870000000000001,0.3,
8.,8.,8.,Công ty Cổ phầnVinafacade,Hà Nội,"18,02%","20,86%","Kinh doanh, lắp dựng kínhxây dựng",,,0.1802,0.2086,
9.,9.,9.,Công ty Cổ phần ViglaceraHạ Long II,Quảng Ninh,"20,19%","40,00%",Sản xuất và kinh doanhgạch ngói,,,0.20190000000000002,0.4,
10.,10.,10.,Công ty Cổ phần ViglaceraĐông Triều,Quảng Ninh,"20,19%","40,00%",Sản xuất và kinh doanhgạch ngói,,,0.20190000000000002,0.4,
