row_label_raw,row_label_full,Đơn vị tư vấn phát hành/bảo lãnh,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
,,,VND,VND,,
Quỹ Đầu tư và Đảm bảo tín dụng (Credit Guarantee and Investment Facility - CGIF),Quỹ Đầu tư và Đảm bảo tín dụng (Credit Guarantee and Investment Facility - CGIF),Quỹ Đầu tư và Đảm bảo tín dụng (Credit Guarantee and Investment Facility - CGIF),1.150.000.000.000,1.150.000.000.000,1150000000000.0,1150000000000.0
Công ty Cổ phần Chứng khoán VIX - Bên liên quan của Công ty,Công ty Cổ phần Chứng khoán VIX - Bên liên quan của Công ty,Công ty Cổ phần Chứng khoán VIX - Bên liên quan của Công ty,800.000.000.000,3.450.000.000.000,800000000000.0,3450000000000.0
Công ty TNHH Chứng khoán Shinhan Việt Nam,Công ty TNHH Chứng khoán Shinhan Việt Nam,Công ty TNHH Chứng khoán Shinhan Việt Nam,700.000.000.000,700.000.000.000,700000000000.0,700000000000.0
Ngân hàng TMCP Quân đội - Chi nhánh Đồng Nai,Ngân hàng TMCP Quân đội - Chi nhánh Đồng Nai,Ngân hàng TMCP Quân đội - Chi nhánh Đồng Nai,400.000.000.000,-,400000000000.0,
Công ty Cổ phần Chứng khoán SSI,Công ty Cổ phần Chứng khoán SSI,Công ty Cổ phần Chứng khoán SSI,179.100.000.000,400.000.000.000,179100000000.0,400000000000.0
Công ty Cổ phần Chứng khoán VNDIRECT,Công ty Cổ phần Chứng khoán VNDIRECT,Công ty Cổ phần Chứng khoán VNDIRECT,-,500.000.000.000,,500000000000.0
Công ty Cổ phần Chứng khoán Eurocapital,Công ty Cổ phần Chứng khoán Eurocapital,Công ty Cổ phần Chứng khoán Eurocapital,-,220.000.000.000,,220000000000.0
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(35.567.457.859),(36.457.741.436),-35567457859.0,-36457741436.0
,,,3.193.532.542.141,6.383.542.258.564,3193532542141.0,6383542258564.0
