row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Quyền khai thác mặt nước,"Chi phí đến bù, chuẩn bị mặt bằng",Giá trị thương hiệu và bản quyền,Phần mềm máy tính,Giấy phép và giấy nhượng quyền,Khác,Tổng,numeric__Quyền sử dụng đất,numeric__Quyền khai thác mặt nước,"numeric__Chi phí đến bù, chuẩn bị mặt bằng",numeric__Giá trị thương hiệu và bản quyền,numeric__Phần mềm máy tính,numeric__Giấy phép và giấy nhượng quyền,numeric__Khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,225.033.743.148,384.184.174.786,93.259.704.164,12.171.705.697,83.979.980.474,41.839.413.266,-,840.468.721.535,225033743148.0,384184174786.0,93259704164.0,12171705697.0,83979980474.0,41839413266.0,,840468721535.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,-,-,1.765.529.184,6.041.973.536,657.000.000,8.674.997.834,17.139.500.554,,,,1765529184.0,6041973536.0,657000000.0,8674997834.0,17139500554.0
Chuyển sang bất động sản đầu tư,NGUYÊN GIÁ > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(38.405.287.440),-,-,-,-,-,-,(38.405.287.440),-38405287440.0,,,,,,,-38405287440.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,-,-,-,(8.866.218.760),-,-,-,(8.866.218.760),,,,-8866218760.0,,,,-8866218760.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,186.628.455.708,384.184.174.786,93.259.704.164,5.071.016.121,90.021.954.010,42.496.413.266,8.674.997.834,810.336.715.889,186628455708.0,384184174786.0,93259704164.0,5071016121.0,90021954010.0,42496413266.0,8674997834.0,810336715889.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,29.608.773.858,40.504.191.296,18.369.705.859,9.251.254.904,29.147.527.537,3.757.554.793,-,130.639.008.247,29608773858.0,40504191296.0,18369705859.0,9251254904.0,29147527537.0,3757554793.0,,130639008247.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,6.791.013.138,10.783.391.556,2.186.773.796,479.742.426,14.821.167.292,2.175.933.001,1.445.832.960,38.683.854.169,6791013138.0,10783391556.0,2186773796.0,479742426.0,14821167292.0,2175933001.0,1445832960.0,38683854169.0
Chuyển sang bất động sản đầu tư,GIÁ TRỊ HAO MÒN LỦY KẾ > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(10.617.982.070),-,-,-,-,-,-,(10.617.982.070),-10617982070.0,,,,,,,-10617982070.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,-,-,-,(8.866.218.760),-,-,-,(8.866.218.760),,,,-8866218760.0,,,,-8866218760.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,25.781.804.926,51.287.582.852,20.556.479.655,864.778.570,43.968.694.829,5.933.487.794,1.445.832.960,149.838.661.586,25781804926.0,51287582852.0,20556479655.0,864778570.0,43968694829.0,5933487794.0,1445832960.0,149838661586.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,195.424.969.290,343.679.983.490,74.889.998.305,2.920.450.793,54.832.452.937,38.081.858.473,-,709.829.713.288,195424969290.0,343679983490.0,74889998305.0,2920450793.0,54832452937.0,38081858473.0,,709829713288.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,160.846.650.782,332.896.591.934,72.703.224.509,4.206.237.551,46.053.259.181,36.562.925.472,7.229.164.874,660.498.054.303,160846650782.0,332896591934.0,72703224509.0,4206237551.0,46053259181.0,36562925472.0,7229164874.0,660498054303.0
