row_label_raw,row_label_full,col_0,CHÌ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__CHÌ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,29,32.262.726.561.846,28.762.798.502.282,,1.0,29.0,32262726561846.0,28762798502282.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,29,173.974.039.862,184.399.867.833,,2.0,29.0,173974039862.0,184399867833.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,29,32.088.752.521.984,28.578.398.634.449,,10.0,29.0,32088752521984.0,28578398634449.0
4.,4.,4.,Giá vốn hàng bán và dịch vụ cung cấp,11,30,25.630.732.313.414,24.205.377.339.050,,11.0,30.0,25630732313414.0,24205377339050.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,6.458.020.208.570,4.373.021.295.399,,20.0,,6458020208570.0,4373021295399.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,32,731.205.570.695,1.167.963.586.009,,21.0,32.0,731205570695.0,1167963586009.0
7.,7.,7.,Chi phí tài chính,22,33,2.266.078.299.811,1.574.559.377.524,,22.0,33.0,2266078299811.0,1574559377524.0
,,,- Trong đó: Chi phí lãi vay,23,,1.363.217.088.136,1.125.042.134.182,,23.0,,1363217088136.0,1125042134182.0
8.,8.,8.,"Phần lãi trong công ty liên doanh, liên kết",24,16,36.049.597.677,229.588.314.575,,24.0,16.0,36049597677.0,229588314575.0
9.,9.,9.,Chi phí bán hàng,25,34,1.289.959.042.165,887.044.001.805,,25.0,34.0,1289959042165.0,887044001805.0
10.,10.,10.,Chi phí quản lý doanh nghiệp,26,34,1.668.152.641.326,1.289.304.525.228,,26.0,34.0,1668152641326.0,1289304525228.0
11.,11.,11.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),30,,2.001.085.393.640,2.019.665.291.426,,30.0,,2001085393640.0,2019665291426.0
12.,12.,12.,Thu nhập khác,31,35,135.937.769.623,93.347.906.989,,31.0,35.0,135937769623.0,93347906989.0
13.,13.,13.,Chi phí khác,32,,56.470.451.333,56.020.381.979,,32.0,,56470451333.0,56020381979.0
14.,14.,14.,Lợi nhuận khác (40=31-32),40,,79.467.318.290,37.327.525.010,,40.0,,79467318290.0,37327525010.0
15.,15.,15.,Tổng lợi nhuận kể toán trước thuế (50=30+40),50,,2.080.552.711.930,2.056.992.816.436,,50.0,,2080552711930.0,2056992816436.0
16.,16.,16.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,36,540.489.377.473,390.834.119.468,,51.0,36.0,540489377473.0,390834119468.0
17.,17.,17.,Chi phí/(thu nhập) thuế thu nhập doanh nghiệp hoãn lại,52,36,8.306.533.359,(200.605.096),,52.0,36.0,8306533359.0,-200605096.0
18.,18.,18.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,1.531.756.801.098,1.666.359.302.064,,60.0,,1531756801098.0,1666359302064.0
,,,Trong đó:,,,,,,,,,
,,,Lợi nhuận sau thuế của Công ty mẹ,61,,368.916.322.614,1.038.701.162.390,,61.0,,368916322614.0,1038701162390.0
,,,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,1.162.840.478.484,627.658.139.674,,62.0,,1162840478484.0,627658139674.0
19.,19.,19.,Lãi cơ bản trên cổ phiếu,70,37,433,1.420,,70.0,37.0,433.0,1420.0
