row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,21.043.377.859.729,20.497.801.604.736,,400.0,,21043377859729.0,20497801604736.0
I.,I.,I.,Vốn chủ sở hữu,410,27,20.996.098.954.198,20.447.606.644.553,,410.0,27.0,20996098954198.0,20447606644553.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,8.514.957.930.000,8.514.957.930.000,,411.0,,8514957930000.0,8514957930000.0
1.,1.,1.,- Cổ phiếu phố thông có quyền biểu quyết,411a,,8.514.957.930.000,8.514.957.930.000,,,,8514957930000.0,8514957930000.0
2.,2.,2.,Thặng dư vốn cổ phần,412,,663.218.256.719,663.218.256.719,,412.0,,663218256719.0,663218256719.0
3.,3.,3.,Vốn khác của chủ sở hữu,414,,77.388.963.577,77.388.963.577,,414.0,,77388963577.0,77388963577.0
4.,4.,4.,Chênh lệch tỷ giá hối đoái,417,,(2.057.231.617),(1.612.793.537),,417.0,,-2057231617.0,-1612793537.0
5.,5.,5.,Quỹ đầu tư phát triển,418,,230.042.773.392,107.732.443.659,,418.0,,230042773392.0,107732443659.0
6.,6.,6.,Lợi nhuận sau thuế chưa phân phối,421,,2.546.226.493.501,2.627.431.111.741,,421.0,,2546226493501.0,2627431111741.0
6.,6.,6.,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,2.177.310.170.887,1.588.729.949.351,,,,2177310170887.0,1588729949351.0
6.,6.,6.,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,368.916.322.614,1.038.701.162.390,,,,368916322614.0,1038701162390.0
7.,7.,7.,Lợi ích của cổ đông không kiểm soát,429,,8.966.321.768.626,8.458.490.732.394,,429.0,,8966321768626.0,8458490732394.0
II.,II.,II.,Nguồn kinh phí và quỹ khác,430,,47.278.905.531,50.194.960.183,,430.0,,47278905531.0,50194960183.0
1.,1.,1.,Nguồn kinh phí đã hình thành tài sản cổ định,432,,47.278.905.531,50.194.960.183,,432.0,,47278905531.0,50194960183.0
,,,TỔNG CỘNG NGUỒN VỐN (440=300+400),440,,52.384.834.524.135,61.189.346.991.646,,440.0,,52384834524135.0,61189346991646.0
