row_label_raw,row_label_full,Chỉ tiêu,Mã số,Số đã báo cáo,Phân loại lại,Số sau phân loại lại,numeric__Mã số,numeric__Số đã báo cáo,numeric__Phân loại lại,numeric__Số sau phân loại lại
,,,,VND,VND,VND,,,,
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,1.189.372.955.861,(152.320.123.747),1.037.052.832.114,315.0,1189372955861.0,-152320123747.0,1037052832114.0
Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,321,253.502.546.830,(108.809.143.289),144.693.403.541,321.0,253502546830.0,-108809143289.0,144693403541.0
Chi phí phải trả dài hạn,Chi phí phải trả dài hạn,Chi phí phải trả dài hạn,333,-,152.320.123.747,152.320.123.747,333.0,,152320123747.0,152320123747.0
Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,342,307.852.472.251,108.809.143.289,416.661.615.540,342.0,307852472251.0,108809143289.0,416661615540.0
