row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý,Số cuối năm > VNDDự phòng,Số cuối năm > Giá gốc_1,Số đầu năm > Giá trị hợp lý,Số đầu năm > VNDDự phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số cuối năm > VNDDự phòng,numeric__Số cuối năm > Giá gốc_1,numeric__Số đầu năm > Giá trị hợp lý,numeric__Số đầu năm > VNDDự phòng
Trái phiếu (i),Trái phiếu (i),Trái phiếu (i),1.400.000.000.000,(i),-,6.324.486.696.790,(i),-,1400000000000.0,,,6324486696790.0,,
Cổ phiếu (ii),Cổ phiếu (ii),Cổ phiếu (ii),769.754.643.884,767.229.243.884,(2.525.400.000),729.106.336.118,711.605.637.198,(17.500.698.920),769754643884.0,767229243884.0,-2525400000.0,729106336118.0,711605637198.0,-17500698920.0
Chứng chỉ tiền gửi (iii),Chứng chỉ tiền gửi (iii),Chứng chỉ tiền gửi (iii),1.610.906.301,(iii),-,-,,-,1610906301.0,,,,,
,,,2.171.365.550.185,,(2.525.400.000),7.053.593.032.908,,(17.500.698.920),2171365550185.0,,-2525400000.0,7053593032908.0,,-17500698920.0
