row_label_raw,row_label_full,Bên liên quan > Công ty Nam Hà Nội,Mối quan hệ > Công ty con,Chuyển nhượng cổ phần > (4.386.006.520.000),Nhận thanh toán tiền bán cổ phần > 4.386.006.520.000,Nhận chuyển nhượng cổ phần > 9.822.660.610.678,Đơn vị tính: VNDThanh toán tiền mua cổ phần > (6.408.829.200),numeric__Mối quan hệ > Công ty con,numeric__Chuyển nhượng cổ phần > (4.386.006.520.000),numeric__Nhận thanh toán tiền bán cổ phần > 4.386.006.520.000,numeric__Nhận chuyển nhượng cổ phần > 9.822.660.610.678,numeric__Đơn vị tính: VNDThanh toán tiền mua cổ phần > (6.408.829.200)
Công ty Sài Đồng,Công ty Sài Đồng,Công ty Sài Đồng,Công ty con,(7.482.225.830.000),7.482.225.830.000,3.408.829.200,(3.408.829.200),,-7482225830000.0,7482225830000.0,3408829200.0,-3408829200.0
Công ty Thời Đại,Công ty Thời Đại,Công ty Thời Đại,Công ty con,(4.550.000.000.000),4.550.000.000.000,-,-,,-4550000000000.0,4550000000000.0,,
Công ty Công viên trung tâm,Công ty Công viên trung tâm,Công ty Công viên trung tâm,Công ty con,(1.407.168.000.000),1.407.168.000.000,-,-,,-1407168000000.0,1407168000000.0,,
Công ty Vinschool,Công ty Vinschool,Công ty Vinschool,Công ty con,-,-,552.960.000.000,(552.960.000.000),,,,552960000000.0,-552960000000.0
Công ty Cần Giờ,Công ty Cần Giờ,Công ty Cần Giờ,Công ty con,-,-,2.370.400.000.000,-,,,,2370400000000.0,
Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty con,-,-,7.649.170.204.823,-,,,,7649170204823.0,
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,,,,,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Chuyển nhượng cổ phần,Nhận thanh toán tiền bán cổ phần,Nhận chuyển nhượng cổ phần,Đơn vị tính: VNDThanh toán tiền mua cổ phần,,,,,
Công ty Nam Hà Nội,Bên liên quan > Công ty Nam Hà Nội,Công ty Nam Hà Nội,Công ty con,(4.415.561.419.672),4.415.561.419.672,44.155.614.197,(44.155.614.197),,-4415561419672.0,4415561419672.0,44155614197.0,-44155614197.0
Công ty TNHH Vinpearl Phú,Công ty TNHH Vinpearl Phú,Công ty TNHH Vinpearl Phú,Công ty con đến ngày,,,,,,,,,
Quốc,Công ty TNHH Vinpearl Phú > Quốc,Quốc,22 tháng 12 năm 2016,-,-,810.176.525.000,(810.176.525.000),,,,810176525000.0,-810176525000.0
Công ty Hoàng Gia,Công ty TNHH Vinpearl Phú > Công ty Hoàng Gia,Công ty Hoàng Gia,Công ty con,-,-,6.000.000.000,(6.000.000.000),,,,6000000000.0,-6000000000.0
Công ty Vinpearl,Công ty TNHH Vinpearl Phú > Công ty Vinpearl,Công ty Vinpearl,Công ty con,(20.000.000.000),20.000.000.000,-,-,,-20000000000.0,20000000000.0,,
Công ty Tân Liên Phát,Công ty TNHH Vinpearl Phú > Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty con,(663.181.818.182),-,-,-,,-663181818182.0,,,
