row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc",Quyền sử dụng đất,"Máy móc, thiết bị",Đơn vị tính: VND Tổng cộng,"numeric__Nhà cửa, vật kiến trúc",numeric__Quyền sử dụng đất,"numeric__Máy móc, thiết bị",numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số dư đầu năm,Nguyên giá: > Số dư đầu năm,Số dư đầu năm,1.200.370.597.629,220.424.683.277,320.046.333.345,1.740.841.614.251,1200370597629.0,220424683277.0,320046333345.0,1740841614251.0
- Xây dựng mới,Nguyên giá: > - Xây dựng mới,- Xây dựng mới,2.752.548.312.538,67.934.840.255,418.658.214.967,3.239.141.367.760,2752548312538.0,67934840255.0,418658214967.0,3239141367760.0
Số dư cuối năm,Nguyên giá: > Số dư cuối năm,Số dư cuối năm,3.952.918.910.167,288.359.523.532,738.704.548.312,4.979.982.982.011,3952918910167.0,288359523532.0,738704548312.0,4979982982011.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế: > Số dư đầu năm,Số dư đầu năm,11.256.149.109,562.925.429,1.872.489.622,13.691.564.160,11256149109.0,562925429.0,1872489622.0,13691564160.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,84.075.744.432,6.355.547.581,55.271.526.623,145.702.818.636,84075744432.0,6355547581.0,55271526623.0,145702818636.0
Số dư cuối năm,Giá trị hao mòn lũy kế: > Số dư cuối năm,Số dư cuối năm,95.331.893.541,6.918.473.010,57.144.016.245,159.394.382.796,95331893541.0,6918473010.0,57144016245.0,159394382796.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,1.189.114.448.520,219.861.757.848,318.173.843.723,1.727.150.050.091,1189114448520.0,219861757848.0,318173843723.0,1727150050091.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,3.857.587.016.626,281.441.050.522,681.560.532.067,4.820.588.599.215,3857587016626.0,281441050522.0,681560532067.0,4820588599215.0
