row_label_raw,row_label_full,Đơn vị tính: VND > Tiền chuyển từ công ty con vào tài khoản quản lý tiến tập trung,Đơn vị tính: VND > Tiền chuyển từ tài khoản quản lý tiến tập trung cho các công ty con,numeric__Đơn vị tính: VND > Tiền chuyển từ tài khoản quản lý tiến tập trung cho các công ty con
(14.880.333.444.078),(14.880.333.444.078),(14.880.333.444.078),14.520.748.016.986,14520748016986.0
(18.683.462.371.619),(18.683.462.371.619),(18.683.462.371.619),18.420.835.557.732,18420835557732.0
(1.183.338.408.111),(1.183.338.408.111),(1.183.338.408.111),1.181.492.842.885,1181492842885.0
(1.538.045.283.849),(1.538.045.283.849),(1.538.045.283.849),1.449.968.185.995,1449968185995.0
(3.290.060.523.192),(3.290.060.523.192),(3.290.060.523.192),3.591.558.806.438,3591558806438.0
(3.167.737.385.657),(3.167.737.385.657),(3.167.737.385.657),3.214.979.195.771,3214979195771.0
(521.074.803.220),(521.074.803.220),(521.074.803.220),520.025.601.719,520025601719.0
(1.769.107.936.664),(1.769.107.936.664),(1.769.107.936.664),1.779.919.147.568,1779919147568.0
(274.261.584.632),(274.261.584.632),(274.261.584.632),278.512.709.453,278512709453.0
(5.753.069.084.890),(5.753.069.084.890),(5.753.069.084.890),5.706.488.959.293,5706488959293.0
(4.321.821.162.338),(4.321.821.162.338),(4.321.821.162.338),4.278.243.334.441,4278243334441.0
(353.179.029.491),(353.179.029.491),(353.179.029.491),451.350.432.429,451350432429.0
(305.674.252.107),(305.674.252.107),(305.674.252.107),320.288.815.254,320288815254.0
(2.456.862.712.612),(2.456.862.712.612),(2.456.862.712.612),2.434.741.740.434,2434741740434.0
(212.752.114.009),(212.752.114.009),(212.752.114.009),295.234.079.412,295234079412.0
(2.504.607.586.460),(2.504.607.586.460),(2.504.607.586.460),3.108.908.393.725,3108908393725.0
(256.761.755),(256.761.755),(256.761.755),13.791.162.702,13791162702.0
(12.114.119.784),(12.114.119.784),(12.114.119.784),12.126.311.000,12126311000.0
