row_label_raw,row_label_full,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Đơn vị tính: VND > Số đầu năm
-,-,-,147.455.144.055,147455144055.0
18.454.256.236,18.454.256.236,18.454.256.236,22.441.435.675,22441435675.0
65.922.007.561,65.922.007.561,65.922.007.561,1.988.742.545,1988742545.0
387.202.959.471,387.202.959.471,387.202.959.471,203.798.212.804,203798212804.0
96.059.691.186,96.059.691.186,96.059.691.186,4.822.903.963,4822903963.0
44.020.551.017,44.020.551.017,44.020.551.017,33.350.724.127,33350724127.0
6.828.433.395,6.828.433.395,6.828.433.395,12.503.153.662,12503153662.0
-,-,-,100.500.286.523,100500286523.0
258.527.762.597,258.527.762.597,258.527.762.597,-,
58.674.470.568,58.674.470.568,58.674.470.568,-,
44.922.564.536,58.674.470.568 > 44.922.564.536,44.922.564.536,16.776.590.827,16776590827.0
-,58.674.470.568 > -,-,102.417.987.950,102417987950.0
980.612.696.567,58.674.470.568 > 980.612.696.567,980.612.696.567,646.055.182.131,646055182131.0
,,,Đơn vị tính: VND,
Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,
62.992.714.037,Số cuối năm > 62.992.714.037,62.992.714.037,31.452.284.200,31452284200.0
171.488.628.183,171.488.628.183,171.488.628.183,-,
190.369.400,171.488.628.183 > 190.369.400,190.369.400,929.501.600,929501600.0
234.671.711.620,171.488.628.183 > 234.671.711.620,234.671.711.620,32.381.785.800,32381785800.0
