row_label_raw,row_label_full,STT,Tên đơn vị,Thuyết minh,Số cuối năm > Số lượng cổ phiếu,Số cuối năm > Giá trị ghi số,Số cuối năm > Giá trị hợp lý,Số cuối năm > Tỷ lệ vốn năm giữ trực tiếp,Số đầu năm > Số lượng cổ phiếu,Số đầu năm > Giá trị ghi số,Số đầu năm > Giá trị hợp lý,Đơn vị tính: VND > Tỷ lệ vốn năm giữ trực tiếp,numeric__Tên đơn vị,numeric__Thuyết minh,numeric__Số cuối năm > Số lượng cổ phiếu,numeric__Số cuối năm > Giá trị ghi số,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số cuối năm > Tỷ lệ vốn năm giữ trực tiếp,numeric__Số đầu năm > Số lượng cổ phiếu,numeric__Số đầu năm > Giá trị ghi số,numeric__Số đầu năm > Giá trị hợp lý,numeric__Đơn vị tính: VND > Tỷ lệ vốn năm giữ trực tiếp
1,1,1,Công ty Vinpearl,(1) (11)(18),423.855.476,13.707.830.720.875,(**),"71,81%",-,,,,,,423855476.0,13707830720875.0,,0.7181000000000001,,,,
2,2,2,Công ty Tân Liên Phát,(2) (18),409.375.000,8.551.390.138.887,(**),"62,50%",311.125.000,5.849.515.138.887,(**),"47,50%",,,409375000.0,8551390138887.0,,0.625,311125000.0,5849515138887.0,,0.475
3,3,3,Công ty Nam Hà Nội,(18),197.800.000,5.792.493.038.618,(**),"98,90%",197.800.000,5.792.493.038.618,(**),"98,90%",,-18.0,197800000.0,5792493038618.0,,0.9890000000000001,197800000.0,5792493038618.0,,0.9890000000000001
4,4,4,Công ty Vinfast,(16),(*),5.250.000.000.000,(**),"100,00%",-,,,,,-16.0,,5250000000000.0,,1.0,,,,
5,5,5,Công ty Vincommerce,(6) (11),299.803.800,3.559.406.034.344,(**),"37,59%",166.555.000,1.665.550.000.000,(**),"23,40%",,,299803800.0,3559406034344.0,,0.3759,166555000.0,1665550000000.0,,0.23399999999999999
6,6,6,Công ty Vincom Retail,(7) (18),349.155.185,3.501.335.054.034,16.462.666.972.750,"18,37%",820.811.068,8.231.109.514.032,(**),"54,12%",,,349155185.0,3501335054034.0,16462666972750.0,0.1837,820811068.0,8231109514032.0,,0.5412
7,7,7,Công ty Vinmec,(4),323.391.992,3.233.919.920.000,(**),"99,00%",179.490.848,1.794.908.480.000,(**),"54,95%",,-4.0,323391992.0,3233919920000.0,,0.99,179490848.0,1794908480000.0,,0.5495
8,8,8,Công ty Sài Đông,(18),112.800.300,2.212.943.935.291,9.791.066.040.000,"94,00%",112.800.300,2.212.943.935.291,5.515.414.400.000,"94,00%",,-18.0,112800300.0,2212943935291.0,9791066040000.0,0.94,112800300.0,2212943935291.0,5515414400000.0,0.94
9,9,9,Công ty Xavinco,(18),190.875.000,2.071.029.000.000,(**),"95,44%",190.875.000,2.071.029.000.000,(**),"95,44%",,-18.0,190875000.0,2071029000000.0,,0.9544,190875000.0,2071029000000.0,,0.9544
10,10,10,Công ty Hoàng Gia,(8) (9),141.330.000,1.987.657.117.638,(**),"57,85%",197.450.000,2.840.478.751.405,(**),"80,82%",,,141330000.0,1987657117638.0,,0.5785,197450000.0,2840478751405.0,,0.8081999999999999
11,11,11,Công ty Thời Đại,(18),(*),1.561.000.000.000,(**),"100,00%",(*),1.561.000.000.000,(**),"100,00%",,-18.0,,1561000000000.0,,1.0,,1561000000000.0,,1.0
12,12,12,Công ty Triển lâm Việt Nam,,138.810.945,1.395.329.678.450,8.702.058.142.050,"83,32%",138.810.945,1.395.329.678.450,5.899.465.162.500,"83,32%",,,138810945.0,1395329678450.0,8702058142050.0,0.8331999999999999,138810945.0,1395329678450.0,5899465162500.0,0.8331999999999999
13,13,13,Công ty Ngôi Sao Phương Nam,(18),59.400.000,785.456.000.000,(**),"99,00%",59.400.000,785.456.000.000,(**),"99,00%",,-18.0,59400000.0,785456000000.0,,0.99,59400000.0,785456000000.0,,0.99
14,14,14,Công ty VinEco,(5) (18),(*),600.490.000.000,(**),"30,00%",(*),1.400.490.000.000,(**),"70,00%",,,,600490000000.0,,0.3,,1400490000000.0,,0.7
15,15,15,Công ty Sách V'ệt Nam,,44.364.274,475.165.611.800,796.471.811.122,"65,33%",44.364.274,475.165.611.800,(**),"65,33%",,,44364274.0,475165611800.0,796471811122.0,0.6533,44364274.0,475165611800.0,,0.6533
16,16,16,Công ty Vincom Service,(10),(*),376.000.000.000,(**),"94,00%",(*),376.000.000.000,(**),"94,00%",,-10.0,,376000000000.0,,0.94,,376000000000.0,,0.94
17,17,17,Công ty Phúc Đồng,(16),,294.000.000.000,(**),"98,00%",-,,,,,-16.0,,294000000000.0,,0.98,,,,
18,18,18,Công ty Xây dựng Vincom 1,(11),,,,,,,,,,-11.0,,,,,,,,
19,19,19,Công ty VinAcademy,(17),(*),270.000.000.000,(**),"100,00%",(*),220.000.000.000,(**),"100,00%",,-17.0,,270000000000.0,,1.0,,220000000000.0,,1.0
20,20,20,Công ty BDS Thăng Long,,3.150.000,199.700.000.000,(**),"63,00%",3.150.000,199.700.000.000,(**),"63,00%",,,3150000.0,199700000000.0,,0.63,3150000.0,199700000000.0,,0.63
21,21,21,Công ty Vinschool,(9),(*),100.000.000.000,(**),"100,00%",(*),100.000.000.000,(**),"100,00%",,-9.0,,100000000000.0,,1.0,,100000000000.0,,1.0
22,22,22,Công ty Bảo vệ Vincom,(17),(*),50.000.000.000,(**),"100,00%",(*),2.000.000.000,(**),"100,00%",,-17.0,,50000000000.0,,1.0,,2000000000.0,,1.0
23,23,23,Công ty Tây Tăng Long,(17),(*),30.000.000.000,(**),10%,(*),635.000.000,(**),"10,00%",,-17.0,,30000000000.0,,0.1,,635000000.0,,0.1
