row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Đơn vị tính: VND > Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Các khoản cho vay các bên liên quan ngắn hạn (Thuyết minh số 31.3),Ngắn hạn > Các khoản cho vay các bên liên quan ngắn hạn (Thuyết minh số 31.3),Các khoản cho vay các bên liên quan ngắn hạn (Thuyết minh số 31.3),19.787.713.186.515,9.794.053.910.481,19787713186515.0,9794053910481.0
Các khoản cho vay khác (i),Ngắn hạn > Các khoản cho vay khác (i),Các khoản cho vay khác (i),83.077.886.534,83.077.886.534,83077886534.0,83077886534.0
Các khoản cho các bên khác vay dài hạn đến hạn thu hồi (ii),Ngắn hạn > Các khoản cho các bên khác vay dài hạn đến hạn thu hồi (ii),Các khoản cho các bên khác vay dài hạn đến hạn thu hồi (ii),55.000.000.000,-,55000000000.0,
Các khoản cho vay các bên liên quan dài hạn đến hạn thu hồi (Thuyết minh số 31.3),Ngắn hạn > Các khoản cho vay các bên liên quan dài hạn đến hạn thu hồi (Thuyết minh số 31.3),Các khoản cho vay các bên liên quan dài hạn đến hạn thu hồi (Thuyết minh số 31.3),-,39.000.000.000,,39000000000.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,19.925.791.073.049,9.916.131.797.015,19925791073049.0,9916131797015.0
Dự phòng phải thu về cho vay khó đòi,Ngắn hạn > Dự phòng phải thu về cho vay khó đòi,Dự phòng phải thu về cho vay khó đòi,(58.154.520.574),(24.923.365.963),-58154520574.0,-24923365963.0
Dài hạn,Dài hạn,Dài hạn,,,,
Các khoản cho vay các bên liên quan dài hạn (Thuyết minh số 31.3),Dài hạn > Các khoản cho vay các bên liên quan dài hạn (Thuyết minh số 31.3),Các khoản cho vay các bên liên quan dài hạn (Thuyết minh số 31.3),-,2.704.370.400.000,,2704370400000.0
Trong đó: các khoản cho bên liên quan vay dài hạn đến hạn thu hồi,Dài hạn > Trong đó: các khoản cho bên liên quan vay dài hạn đến hạn thu hồi,Trong đó: các khoản cho bên liên quan vay dài hạn đến hạn thu hồi,-,(39.000.000.000),,-39000000000.0
Các khoản cho các bên khác vay dài hạn,Dài hạn > Các khoản cho các bên khác vay dài hạn,Các khoản cho các bên khác vay dài hạn,55.000.000.000,55.000.000.000,55000000000.0,55000000000.0
Trong đó: các khoản cho bên khác vay dài hạn đến hạn thu hồi,Dài hạn > Trong đó: các khoản cho bên khác vay dài hạn đến hạn thu hồi,Trong đó: các khoản cho bên khác vay dài hạn đến hạn thu hồi,(55.000.000.000),-,-55000000000.0,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,-,2.720.370.400.000,,2720370400000.0
