row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Lãi vay phải thu,Lãi vay phải trả,Lãi vay đã trả,Đơn vị tính: VND,numeric__Mối quan hệ,numeric__Lãi vay phải thu,numeric__Lãi vay phải trả,numeric__Lãi vay đã trả,numeric__Đơn vị tính: VND
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Lãi vay phải thu,Lãi vay phải trả,Lãi vay đã trả,Lãi vay đã thu,,,,,
Công ty Vinpearl,Bên liên quan > Công ty Vinpearl,Công ty Vinpearl,Công ty con,64.779.936.625,(23.254.899.243),30.618.511.093,(2.924.536.623),,64779936625.0,-23254899243.0,30618511093.0,-2924536623.0
Công ty Vincom Retail,Bên liên quan > Công ty Vincom Retail,Công ty Vincom Retail,Công ty con,19.004.170.901,(365.443.000.000),418.780.008.399,(30.479.810.103),,19004170901.0,-365443000000.0,418780008399.0,-30479810103.0
Công ty Sinh Thái,Bên liên quan > Công ty Sinh Thái,Công ty Sinh Thái,Công ty con,15.555.556,(9.657.083.333),84.619.500.000,(15.555.556),,15555556.0,-9657083333.0,84619500000.0,-15555556.0
Công ty Mễ Trì,Bên liên quan > Công ty Mễ Trì,Công ty Mễ Trì,Công ty con,63.166.373.771,-,-,(63.166.373.771),,63166373771.0,,,-63166373771.0
Công ty Sài Đồng,Bên liên quan > Công ty Sài Đồng,Công ty Sài Đồng,Công ty con,8.170.555.559,(29.279.055.554),30.486.555.555,(8.170.555.559),,8170555559.0,-29279055554.0,30486555555.0,-8170555559.0
Công ty Thời Đại,Bên liên quan > Công ty Thời Đại,Công ty Thời Đại,Công ty con,71.066.864.004,-,-,(12.867.151.272),,71066864004.0,,,-12867151272.0
Công ty Vincom Retail Miền Bắc,Bên liên quan > Công ty Vincom Retail Miền Bắc,Công ty Vincom Retail Miền Bắc,Công ty con,38.133.333.333,(31.332.647.943),31.012.641.243,(65.288.888.888),,38133333333.0,-31332647943.0,31012641243.0,-65288888888.0
Công ty Vincommerce,Bên liên quan > Công ty Vincommerce,Công ty Vincommerce,Công ty con,212.249.341.813,-,-,(25.654.273.122),,212249341813.0,,,-25654273122.0
Công ty Hoàng Gia,Bên liên quan > Công ty Hoàng Gia,Công ty Hoàng Gia,Công ty con,64.727.112.911,-,-,(113.626.487.912),,64727112911.0,,,-113626487912.0
Công ty Nam Hà Nội,Bên liên quan > Công ty Nam Hà Nội,Công ty Nam Hà Nội,Công ty con,262.443.540.116,-,-,(351.231.113.587),,262443540116.0,,,-351231113587.0
Công ty Vinhomes 1,Bên liên quan > Công ty Vinhomes 1,Công ty Vinhomes 1,Công ty con đến ngày 8 tháng 5 năm 2017,34.889.722.221,-,-,(50.133.055.555),,34889722221.0,,,-50133055555.0
Công ty Vinmec,Bên liên quan > Công ty Vinmec,Công ty Vinmec,Công ty con,96.598.833.343,-,-,-,,96598833343.0,,,
Công ty Tân Liên Phát,Bên liên quan > Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty con,452.930.114.616,-,-,-,,452930114616.0,,,
Công ty VinEco,Bên liên quan > Công ty VinEco,Công ty VinEco,Công ty con,61.222.777.781,-,-,-,,61222777781.0,,,
Công ty Triển lăm Việt Nam,Bên liên quan > Công ty Triển lăm Việt Nam,Công ty Triển lăm Việt Nam,Công ty con,-,(71.919.842.645),-,-,,,-71919842645.0,,
Công ty Hoa Mai,Bên liên quan > Công ty Hoa Mai,Công ty Hoa Mai,Công ty con đến ngày 5 tháng 7 năm 2017,-,(4.077.159.722),15.995.548.330,-,,,-4077159722.0,15995548330.0,
Công ty Vincom Retail Miền Nam,Bên liên quan > Công ty Vincom Retail Miền Nam,Công ty Vincom Retail Miền Nam,Công ty con,-,(3.628.782.219),75.219.090.371,-,,,-3628782219.0,75219090371.0,
Công ty Cần Giờ,Bên liên quan > Công ty Cần Giờ,Công ty Cần Giờ,Công ty con,-,(36.184.944.444),37.850.166.666,-,,,-36184944444.0,37850166666.0,
