row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Công ty Xây dựng Vincom 1,Công ty Xây dựng Vincom 1,Công ty Xây dựng Vincom 1,Công ty con,Phải trả khác,-,3.047.691.020,,,,3047691020.0
Công ty Xây dựng Vincom 1,Công ty Xây dựng Vincom 1,Công ty Xây dựng Vincom 1,Công ty con,Tiền quản lý tập trung phải trả,20.937.306.204,31.748.517.108,,,20937306204.0,31748517108.0
Công ty Nam Hà Nội,Công ty Nam Hà Nội,Công ty Nam Hà Nội,Công ty con,Tiền quản lý tập trung phải trả,53.070.861.526,9.493.033.629,,,53070861526.0,9493033629.0
Công ty Vincom Retail,Công ty Vincom Retail,Công ty Vincom Retail,Công ty con,Thu hộ phải trả,-,908.175.814,,,,908175814.0
Công ty Vincom Retail,Công ty Vincom Retail,Công ty Vincom Retail,Công ty con,Tiền đặt cọc theo hợp đồng hợp tác đầu tư,3.328.000.000.000,-,,,3328000000000.0,
Công ty Vincom Retail Miền Bắc,Công ty Vincom Retail Miền Bắc,Công ty Vincom Retail Miền Bắc,Công ty con,Tiền đặt cọc theo hợp đồng hợp tác đầu tư,1.007.829.003.339,267.183.867.442,,,1007829003339.0,267183867442.0
Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty con,Tiền quản lý tập trung phải trả,14.444.515.501,315.942.799.436,,,14444515501.0,315942799436.0
Công ty Vincom Service,Công ty Vincom Service,Công ty Vincom Service,Công ty con,Thu hộ phải trả,-,38.225.039.413,,,,38225039413.0
Công ty Vincom Service,Công ty Vincom Service,Công ty Vincom Service,Công ty con,Tiền quản lý tập trung phải trả,101.437.710.789,13.360.612.935,,,101437710789.0,13360612935.0
Công ty Vincommerce,Công ty Vincommerce,Công ty Vincommerce,Công ty con,Thu hộ phải trả,-,760.350.600,,,,760350600.0
Công ty Vincommerce,Công ty Vincommerce,Công ty Vincommerce,Công ty con,Phải trả từ chương trình quản lý thể VinID,633.704.728.943,34.636.276.001,,,633704728943.0,34636276001.0
Công ty Vincommerce,Công ty Vincommerce,Công ty Vincommerce,Công ty con,Tiền quản lý tập trung phải trả,452.545.226.877,189.918.412.990,,,452545226877.0,189918412990.0
Công ty Vincom Retail Miền Nam,Công ty Vincom Retail Miền Nam,Công ty Vincom Retail Miền Nam,Công ty con,Tiền đặt cọc theo hợp đồng hợp tác đầu tư,805.372.380.693,683.297.861.369,,,805372380693.0,683297861369.0
Công ty Vincom Retail Miền Nam,Công ty Vincom Retail Miền Nam,Công ty Vincom Retail Miền Nam,Công ty con,Phải trả khác,-,7.221.777.170,,,,7221777170.0
Các công ty khác,Các công ty khác,Các công ty khác,Công ty con,Thu hộ phải trả,-,9.325.363.296,,,,9325363296.0
Các công ty khác,Các công ty khác,Các công ty khác,Công ty con,Phải trả từ chương trình quản lý thể VinID,38.927.301.849,3.481.725.000,,,38927301849.0,3481725000.0
Các công ty khác,Các công ty khác,Các công ty khác,Công ty con,Tiền quản lý tập trung phải trả,680.210.021.024,461.160.523.911,,,680210021024.0,461160523911.0
Các công ty khác,Các công ty khác,Các công ty khác,Công ty con,Phải trả khác,69.077.324.080,-,,,69077324080.0,
,,,,,7.205.556.380.825,2.069.712.027.134,,,7205556380825.0,2069712027134.0
▶ Phải trả dài hạn khác (Thuyết minh số 22),▶ Phải trả dài hạn khác (Thuyết minh số 22),▶ Phải trả dài hạn khác (Thuyết minh số 22),▶ Phải trả dài hạn khác (Thuyết minh số 22),▶ Phải trả dài hạn khác (Thuyết minh số 22),▶ Phải trả dài hạn khác (Thuyết minh số 22),▶ Phải trả dài hạn khác (Thuyết minh số 22),,,,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,,,,
Công ty Vincom Retail,Bên liên quan > Công ty Vincom Retail,Công ty Vincom Retail,Công ty con,Tiền đặt cọc theo hợp đồng hợp tác đầu tư,226.000.000.000,-,,,226000000000.0,
,,,,,226.000.000.000,-,,,226000000000.0,
